[2026-03-18 13:14:45 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 13:19:11 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 13:19:11 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.25 | 13.89 |
|     bicycle      | 52.89 | 83.35 |
|       car        | 43.14 |  75.2 |
|    motorcycle    | 66.49 | 88.33 |
|     airplane     | 41.59 | 89.76 |
|       bus        | 62.88 | 84.51 |
|      train       | 55.31 | 70.84 |
|      truck       | 38.32 | 47.89 |
|       boat       | 32.95 | 80.86 |
|  traffic light   |  20.7 | 69.16 |
|   fire hydrant   | 54.95 | 83.32 |
|    stop sign     | 59.94 | 91.09 |
|  parking meter   | 28.29 | 36.15 |
|      bench       | 36.12 | 46.17 |
|       bird       | 54.09 | 86.62 |
|       cat        | 69.58 | 88.56 |
|       dog        | 61.44 | 82.86 |
|      horse       | 61.39 | 87.27 |
|      sheep       | 73.34 | 90.56 |
|       cow        | 65.28 | 82.81 |
|     elephant     | 80.42 |  93.1 |
|       bear       | 79.14 | 90.63 |
|      zebra       | 77.61 | 93.97 |
|     giraffe      | 47.66 | 89.99 |
|     backpack     |  7.89 | 56.23 |
|     umbrella     | 33.11 | 70.33 |
|     handbag      |  8.86 | 11.81 |
|       tie        |  1.07 | 53.01 |
|     suitcase     | 46.28 | 53.82 |
|     frisbee      | 11.83 | 51.97 |
|       skis       |  7.44 | 55.72 |
|    snowboard     | 13.57 | 63.13 |
|   sports ball    |  2.56 | 58.46 |
|       kite       | 29.02 | 51.02 |
|   baseball bat   |  5.75 |  8.16 |
|  baseball glove  | 22.99 | 47.02 |
|    skateboard    | 17.29 | 54.25 |
|    surfboard     | 27.19 | 72.79 |
|  tennis racket   |  6.53 | 48.59 |
|      bottle      | 24.99 | 53.03 |
|    wine glass    | 30.68 | 70.84 |
|       cup        | 17.36 | 24.68 |
|       fork       | 14.07 | 15.49 |
|      knife       |  4.88 |  6.4  |
|      spoon       | 18.86 | 32.46 |
|       bowl       | 12.29 | 16.01 |
|      banana      | 35.52 | 44.76 |
|      apple       | 11.39 | 12.78 |
|     sandwich     | 13.18 | 14.22 |
|      orange      | 22.11 | 25.34 |
|     broccoli     |  5.53 |  5.82 |
|      carrot      | 23.99 | 24.74 |
|     hot dog      | 34.29 | 40.15 |
|      pizza       | 43.59 | 52.07 |
|      donut       | 49.75 | 54.04 |
|       cake       | 47.83 | 70.08 |
|      chair       | 15.01 | 16.29 |
|      couch       | 46.49 | 57.88 |
|   potted plant   |  8.97 | 11.88 |
|       bed        | 48.26 | 60.83 |
|   dining table   | 11.72 | 12.88 |
|      toilet      | 30.42 | 75.91 |
|        tv        | 28.76 | 36.54 |
|      laptop      | 43.56 | 65.11 |
|      mouse       | 20.39 |  42.7 |
|      remote      |  14.6 |  66.5 |
|     keyboard     | 38.66 | 58.46 |
|    cell phone    | 32.82 | 58.16 |
|    microwave     | 22.81 | 29.17 |
|       oven       | 24.09 | 69.91 |
|     toaster      | 20.28 | 51.87 |
|       sink       | 30.88 | 54.62 |
|   refrigerator   | 49.36 |  61.8 |
|       book       | 27.87 | 32.31 |
|      clock       | 43.03 |  82.9 |
|       vase       | 29.37 | 55.61 |
|     scissors     | 51.46 | 63.22 |
|    teddy bear    | 62.44 | 75.72 |
|    hair drier    |  1.87 | 15.15 |
|    toothbrush    | 24.89 | 54.82 |
|      banner      |  2.09 | 74.42 |
