[2026-04-15 15:38:43 CLIP_DINOiser_fast_intermediate_grad] (run_remix_training_experiment.py 150): INFO Training finished. Running evaluation...
[2026-04-15 16:07:34 CLIP_DINOiser_fast_intermediate_grad] (logging.py 102): INFO per class results:
[2026-04-15 16:07:34 CLIP_DINOiser_fast_intermediate_grad] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      |  9.59 |  9.86 |
|     bicycle      | 52.38 | 78.18 |
|       car        | 41.64 | 72.43 |
|    motorcycle    |  66.5 | 83.46 |
|     airplane     | 51.25 | 85.32 |
|       bus        | 62.57 | 80.66 |
|      train       | 55.12 | 66.64 |
|      truck       | 32.17 | 38.11 |
|       boat       | 36.64 | 78.99 |
|  traffic light   | 25.75 | 66.32 |
|   fire hydrant   | 53.65 | 74.17 |
|    stop sign     | 63.47 | 89.32 |
|  parking meter   |  24.0 | 29.05 |
|      bench       | 34.71 |  45.0 |
|       bird       | 56.77 | 86.13 |
|       cat        | 65.54 | 78.71 |
|       dog        | 55.04 | 75.92 |
|      horse       | 61.89 |  81.2 |
|      sheep       | 69.13 | 80.09 |
|       cow        | 64.93 |  81.7 |
|     elephant     | 80.83 | 90.49 |
|       bear       | 70.13 | 85.02 |
|      zebra       | 77.62 | 94.51 |
|     giraffe      | 46.58 | 82.65 |
|     backpack     |  9.26 | 48.72 |
|     umbrella     | 33.76 | 70.24 |
|     handbag      |  7.4  |  8.21 |
|       tie        |  0.95 | 43.58 |
|     suitcase     | 42.17 | 46.35 |
|     frisbee      |  9.49 |  51.1 |
|       skis       |  8.32 | 46.59 |
|    snowboard     | 12.57 | 62.05 |
|   sports ball    |  4.73 | 56.09 |
|       kite       | 29.26 | 50.29 |
|   baseball bat   |  6.78 |  8.32 |
|  baseball glove  | 24.75 |  39.2 |
|    skateboard    | 19.97 | 54.76 |
|    surfboard     | 32.64 | 73.06 |
|  tennis racket   | 12.04 | 45.34 |
|      bottle      | 23.75 | 53.85 |
|    wine glass    | 31.73 | 69.22 |
|       cup        | 16.19 | 21.79 |
|       fork       | 13.48 | 15.02 |
|      knife       |  5.82 |  7.49 |
|      spoon       | 21.41 | 30.52 |
|       bowl       | 11.49 | 14.33 |
|      banana      | 46.55 | 58.37 |
|      apple       | 11.61 | 12.65 |
|     sandwich     | 18.59 | 20.51 |
|      orange      | 28.28 | 32.31 |
|     broccoli     |  9.47 |  9.96 |
|      carrot      | 26.79 | 27.54 |
|     hot dog      | 26.22 | 30.36 |
|      pizza       | 34.44 | 39.94 |
|      donut       | 52.78 | 58.04 |
|       cake       | 45.78 | 66.37 |
|      chair       | 14.04 | 15.13 |
|      couch       | 42.18 | 49.19 |
|   potted plant   |  9.24 | 10.33 |
|       bed        |  43.3 | 50.33 |
|   dining table   |  9.35 | 10.07 |
