[2026-04-15 15:37:53 CLIP_DINOiser_fast_intermediate_grad] (run_remix_training_experiment.py 150): INFO Training finished. Running evaluation...
[2026-04-15 16:07:34 CLIP_DINOiser_fast_intermediate_grad] (logging.py 102): INFO per class results:
[2026-04-15 16:07:34 CLIP_DINOiser_fast_intermediate_grad] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|      stairs      |  9.78 | 16.87 |
|      stone       |  5.49 |  8.3  |
|      straw       | 16.42 | 20.24 |
| structural-other |  0.32 |  0.69 |
|      table       |  6.56 |  9.37 |
|       tent       |  5.92 | 11.97 |
|  textile-other   |  4.35 |  6.51 |
|      towel       |  9.77 | 42.27 |
|       tree       | 28.92 | 31.22 |
|    vegetable     | 14.79 | 43.62 |
|    wall-brick    | 28.88 | 39.32 |
|  wall-concrete   |  3.17 |  3.24 |
|    wall-other    |  6.52 | 12.73 |
|    wall-panel    |  2.05 |  2.74 |
|    wall-stone    | 23.81 | 34.18 |
|    wall-tile     | 40.48 |  58.9 |
|    wall-wood     | 11.84 |  12.9 |
|   water-other    | 16.19 | 56.17 |
|    waterdrops    |  0.04 |  0.39 |
|   window-blind   | 32.36 | 43.93 |
|   window-other   | 24.93 | 45.66 |
|       wood       |  6.08 | 20.74 |
+------------------+-------+-------+
[2026-04-15 16:07:34 CLIP_DINOiser_fast_intermediate_grad] (logging.py 102): INFO Summary:
[2026-04-15 16:07:34 CLIP_DINOiser_fast_intermediate_grad] (logging.py 102): INFO 
+-------+------+-------+
|  aAcc | mIoU |  mAcc |
+-------+------+-------+
| 37.89 | 24.2 | 40.89 |
+-------+------+-------+
