[2026-04-15 15:38:13 CLIP_DINOiser_fast_intermediate_grad] (run_remix_training_experiment.py 150): INFO Training finished. Running evaluation...
[2026-04-15 16:07:36 CLIP_DINOiser_fast_intermediate_grad] (logging.py 102): INFO per class results:
[2026-04-15 16:07:36 CLIP_DINOiser_fast_intermediate_grad] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      |  9.51 |  9.8  |
|     bicycle      | 53.62 | 77.78 |
|       car        | 41.85 | 71.45 |
|    motorcycle    | 66.61 |  83.3 |
|     airplane     | 45.95 | 85.83 |
|       bus        | 63.53 | 80.79 |
|      train       |  56.4 |  68.2 |
|      truck       |  33.8 | 39.85 |
|       boat       | 33.46 | 79.55 |
|  traffic light   | 25.01 | 64.67 |
|   fire hydrant   | 55.05 | 76.51 |
|    stop sign     | 63.68 |  89.5 |
|  parking meter   | 25.65 | 32.09 |
|      bench       |  34.8 | 44.68 |
|       bird       | 55.12 | 86.65 |
|       cat        | 65.01 | 78.51 |
|       dog        | 55.54 | 75.82 |
|      horse       | 59.62 | 78.39 |
|      sheep       | 67.27 | 77.41 |
|       cow        | 63.63 | 81.34 |
|     elephant     | 81.19 | 90.38 |
|       bear       | 70.85 | 87.33 |
|      zebra       | 77.37 | 94.57 |
|     giraffe      | 46.01 | 84.39 |
|     backpack     |  9.46 | 49.36 |
|     umbrella     | 32.12 | 70.36 |
|     handbag      |  7.69 |  8.59 |
|       tie        |  0.91 | 41.35 |
|     suitcase     | 43.54 | 48.05 |
|     frisbee      |  10.3 | 53.74 |
|       skis       |  8.65 | 50.67 |
|    snowboard     | 12.85 | 64.11 |
|   sports ball    |  6.28 | 56.58 |
|       kite       | 29.72 | 49.84 |
|   baseball bat   |  6.8  |  8.12 |
|  baseball glove  | 23.44 | 38.19 |
|    skateboard    | 19.47 | 54.33 |
|    surfboard     | 33.39 | 72.56 |
|  tennis racket   | 10.92 | 48.07 |
|      bottle      | 25.16 | 50.73 |
|    wine glass    | 32.98 | 67.93 |
|       cup        | 16.89 | 23.32 |
|       fork       |  14.6 | 16.24 |
|      knife       |  4.43 |  5.62 |
|      spoon       | 22.01 | 30.98 |
|       bowl       | 11.89 | 15.04 |
|      banana      |  44.2 | 55.74 |
|      apple       | 12.12 |  13.2 |
|     sandwich     | 20.64 | 22.83 |
|      orange      | 30.27 | 34.09 |
|     broccoli     |  8.16 |  8.62 |
|      carrot      | 29.23 |  30.1 |
|     hot dog      | 28.74 | 33.09 |
|      pizza       | 41.04 | 48.55 |
|      donut       | 55.69 | 61.42 |
|       cake       | 47.43 | 66.58 |
|      chair       | 14.38 | 15.47 |
|      couch       | 41.18 |  46.9 |
|   potted plant   |  9.05 | 10.18 |
|       bed        |  43.4 |  49.8 |
|   dining table   |  7.82 |  8.33 |
|      toilet      | 39.32 | 70.59 |
|        tv        | 27.88 | 34.05 |
|      laptop      |  41.3 | 56.61 |
|      mouse       | 17.34 | 43.44 |
|      remote      | 16.29 | 67.69 |
|     keyboard     |  39.6 | 61.85 |
|    cell phone    | 31.19 | 50.15 |
|    microwave     | 19.23 | 21.78 |
|       oven       | 25.78 | 63.99 |
|     toaster      | 23.09 | 50.98 |
|       sink       | 26.37 |  41.7 |
|   refrigerator   | 46.12 | 54.03 |
|       book       |  23.1 | 26.12 |
|      clock       | 44.98 |  80.5 |
|       vase       | 30.24 | 50.15 |
|     scissors     | 50.64 | 60.48 |
|    teddy bear    | 61.75 | 73.78 |
|    hair drier    |  0.58 |  8.59 |
|    toothbrush    | 24.46 | 45.92 |
|      banner      |  1.08 | 78.78 |
|     blanket      |  5.77 | 18.72 |
|      branch      |  7.75 | 29.22 |
|      bridge      | 25.24 | 37.52 |
|  building-other  | 31.76 |  53.9 |
|       bush       |  7.88 | 22.45 |
|     cabinet      | 23.13 | 31.62 |
