[2026-03-18 13:19:47 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 13:23:54 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 13:23:54 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.09 | 13.71 |
|     bicycle      | 53.04 | 83.45 |
|       car        | 43.16 | 75.06 |
|    motorcycle    | 66.37 | 88.45 |
|     airplane     | 41.19 | 90.18 |
|       bus        | 62.98 | 84.34 |
|      train       | 55.45 | 71.05 |
|      truck       | 38.52 | 48.17 |
|       boat       | 32.65 | 80.87 |
|  traffic light   | 20.81 | 69.59 |
|   fire hydrant   | 55.29 | 82.76 |
|    stop sign     | 59.56 |  91.3 |
|  parking meter   | 28.35 | 36.44 |
|      bench       | 36.17 | 45.95 |
|       bird       | 54.06 |  86.3 |
|       cat        | 69.36 | 88.68 |
|       dog        | 61.44 | 82.95 |
|      horse       | 61.45 | 86.89 |
|      sheep       | 73.37 | 90.33 |
|       cow        | 65.29 | 82.49 |
|     elephant     | 80.52 | 92.81 |
|       bear       | 79.06 | 90.78 |
|      zebra       | 77.88 | 93.61 |
|     giraffe      | 47.65 | 89.76 |
|     backpack     |  7.98 | 56.69 |
|     umbrella     | 32.77 | 70.25 |
|     handbag      |  8.76 | 11.68 |
|       tie        |  1.06 |  51.7 |
|     suitcase     | 46.39 | 53.68 |
|     frisbee      | 11.72 | 51.83 |
|       skis       |  7.48 |  53.6 |
|    snowboard     | 13.62 | 61.29 |
|   sports ball    |  2.56 | 57.77 |
|       kite       | 28.86 | 51.33 |
|   baseball bat   |  5.69 |  8.23 |
|  baseball glove  | 22.98 | 47.65 |
|    skateboard    | 17.49 | 53.68 |
|    surfboard     |  28.6 | 72.28 |
|  tennis racket   |  6.48 | 48.15 |
|      bottle      | 25.08 | 53.12 |
|    wine glass    | 30.48 | 71.37 |
|       cup        | 17.43 | 24.95 |
|       fork       | 13.94 | 15.41 |
|      knife       |  4.58 |  6.03 |
|      spoon       | 18.81 | 32.17 |
|       bowl       | 12.35 | 16.16 |
|      banana      | 36.46 | 45.81 |
|      apple       |  11.3 |  12.7 |
|     sandwich     | 13.16 | 14.21 |
|      orange      | 22.31 | 25.49 |
|     broccoli     |  5.91 |  6.26 |
|      carrot      | 25.73 | 26.46 |
|     hot dog      | 34.51 | 40.41 |
|      pizza       | 43.71 |  52.2 |
|      donut       | 50.04 | 54.38 |
|       cake       | 47.66 | 69.83 |
|      chair       | 14.72 | 15.96 |
|      couch       | 46.45 | 57.71 |
|   potted plant   |  8.9  | 11.82 |
|       bed        | 48.28 | 61.27 |
|   dining table   | 11.29 | 12.39 |
|      toilet      | 29.58 | 76.57 |
|        tv        |  28.8 | 36.63 |
|      laptop      | 43.58 | 65.24 |
|      mouse       | 20.31 | 42.31 |
|      remote      | 14.63 |  66.5 |
|     keyboard     | 38.76 | 58.22 |
|    cell phone    |  32.6 | 58.21 |
|    microwave     | 22.12 | 28.16 |
|       oven       | 23.95 | 70.17 |
|     toaster      | 20.21 | 52.04 |
|       sink       | 30.69 | 53.56 |
|   refrigerator   | 49.12 | 61.95 |
|       book       | 27.74 | 32.23 |
|      clock       | 42.96 | 83.07 |
|       vase       | 29.36 |  55.1 |
|     scissors     | 51.15 | 62.81 |
|    teddy bear    | 62.16 |  75.4 |
|    hair drier    |  1.92 | 16.01 |
|    toothbrush    | 24.98 | 55.36 |
|      banner      |  2.11 | 74.57 |
|     blanket      |  6.14 | 19.01 |
|      branch      |  6.4  | 41.93 |
|      bridge      | 23.76 | 38.72 |
|  building-other  | 30.39 | 55.72 |
|       bush       | 11.95 |  32.4 |
|     cabinet      | 24.89 |  35.4 |
|       cage       |  5.6  |  6.66 |
|    cardboard     | 22.25 | 26.15 |
|      carpet      | 39.09 | 51.54 |
|  ceiling-other   | 27.41 | 41.36 |
|   ceiling-tile   |  7.19 | 23.26 |
|      cloth       |  0.7  |  2.26 |
|     clothes      |  4.0  | 27.61 |
|      clouds      | 32.84 | 37.33 |
|     counter      | 10.12 | 33.22 |
|     cupboard     |  4.12 | 19.04 |
|     curtain      | 31.88 | 38.68 |
|    desk-stuff    | 22.52 | 37.68 |
|       dirt       | 13.14 | 14.96 |
|    door-stuff    | 13.62 | 18.73 |
|      fence       |  26.7 | 49.47 |
|   floor-marble   |  5.59 |  9.19 |
|   floor-other    |  9.04 |  38.9 |
|   floor-stone    |  1.54 |  2.68 |
|    floor-tile    | 34.71 | 40.09 |
|    floor-wood    | 23.58 | 28.47 |
|      flower      | 31.47 | 42.83 |
|       fog        | 13.46 | 17.86 |
|    food-other    | 11.29 | 75.34 |
|      fruit       | 17.67 | 64.52 |
| furniture-other  |  5.57 |  9.04 |
|      grass       | 48.92 | 61.76 |
|      gravel      | 13.63 | 24.43 |
|   ground-other   |  2.67 | 34.16 |
|       hill       |  6.38 |  7.98 |
|      house       | 11.31 | 31.26 |
|      leaves      |  7.82 |  9.61 |
|      light       |  4.18 | 29.18 |
|       mat        |  0.64 |  3.49 |
|      metal       |  4.02 |  4.59 |
|   mirror-stuff   | 12.03 | 14.42 |
|       moss       |  0.0  |  0.0  |
|     mountain     | 36.43 | 61.34 |
|       mud        |  0.09 |  0.27 |
|      napkin      |  9.51 | 37.93 |
|       net        | 10.08 |  26.5 |
|      paper       | 13.67 |  26.2 |
|     pavement     | 31.72 | 49.69 |
|      pillow      |  5.71 | 20.22 |
|   plant-other    |  5.13 |  7.41 |
|     plastic      |  3.49 |  3.67 |
|     platform     |  6.01 |  9.3  |
|   playingfield   |  0.18 |  0.18 |
|     railing      |  3.69 | 11.03 |
|     railroad     | 37.69 | 84.11 |
|      river       | 40.81 | 60.21 |
|       road       | 31.25 | 39.92 |
|       rock       | 31.04 | 43.76 |
|       roof       |  4.71 | 28.08 |
|       rug        |  20.1 | 25.66 |
|      salad       | 12.76 | 28.24 |
|       sand       | 41.02 | 50.76 |
|       sea        | 50.13 | 61.23 |
|      shelf       |  14.4 | 16.92 |
|    sky-other     | 47.16 | 56.44 |
|    skyscraper    | 22.36 | 39.58 |
|       snow       | 70.31 | 86.58 |
|   solid-other    |  0.11 |  0.54 |
|      stairs      | 10.04 | 16.52 |
|      stone       |  7.47 | 11.89 |
|      straw       | 16.09 | 20.27 |
| structural-other |  0.2  |  0.42 |
|      table       |  6.44 |  8.77 |
|       tent       |  6.01 | 12.49 |
|  textile-other   |  4.45 |  6.53 |
|      towel       |  9.88 | 42.01 |
|       tree       | 34.05 | 37.02 |
|    vegetable     | 15.18 | 45.58 |
|    wall-brick    | 29.15 | 40.26 |
|  wall-concrete   |  3.18 |  3.26 |
|    wall-other    |  6.19 | 11.49 |
|    wall-panel    |  1.98 |  2.57 |
|    wall-stone    | 24.38 | 35.28 |
|    wall-tile     | 38.73 | 59.24 |
|    wall-wood     | 11.75 |  12.7 |
|   water-other    | 15.88 | 52.75 |
|    waterdrops    |  0.07 |  0.85 |
|   window-blind   | 34.62 | 44.99 |
|   window-other   | 25.37 |  46.9 |
|       wood       |  7.66 | 23.89 |
+------------------+-------+-------+
[2026-03-18 13:23:54 CLIP_DINOiser_fast] (logging.py 102): INFO Summary:
[2026-03-18 13:23:54 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------+-------+-------+
| aAcc |  mIoU |  mAcc |
+------+-------+-------+
| 38.6 | 24.25 | 41.28 |
+------+-------+-------+
