[2026-03-18 12:49:00 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 12:53:15 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 12:53:15 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 12.97 | 13.58 |
|     bicycle      | 52.53 | 83.72 |
|       car        | 43.16 | 75.42 |
|    motorcycle    | 66.03 | 88.56 |
|     airplane     | 41.14 | 90.14 |
|       bus        | 62.99 |  85.0 |
|      train       |  55.9 | 71.93 |
|      truck       | 38.98 | 48.79 |
|       boat       | 32.96 | 81.03 |
|  traffic light   | 20.48 |  69.9 |
|   fire hydrant   | 54.55 |  83.2 |
|    stop sign     | 59.77 | 91.12 |
|  parking meter   | 28.49 | 36.59 |
|      bench       |  36.1 | 46.14 |
|       bird       | 53.27 | 86.95 |
|       cat        | 69.32 | 88.72 |
|       dog        | 61.15 | 82.91 |
|      horse       | 61.03 | 87.78 |
|      sheep       | 73.01 | 90.74 |
|       cow        | 65.01 | 83.17 |
|     elephant     | 80.38 | 93.46 |
|       bear       | 78.99 | 90.91 |
|      zebra       | 77.44 | 93.97 |
|     giraffe      | 47.68 | 90.05 |
|     backpack     |  7.93 | 56.12 |
|     umbrella     | 32.99 |  70.2 |
|     handbag      |  8.77 | 11.63 |
|       tie        |  1.09 | 53.05 |
|     suitcase     | 46.27 | 53.76 |
|     frisbee      |  11.4 | 52.51 |
|       skis       |  7.45 | 55.51 |
|    snowboard     | 13.41 | 62.08 |
|   sports ball    |  2.53 | 57.74 |
|       kite       | 27.92 | 51.94 |
|   baseball bat   |  5.63 |  8.0  |
|  baseball glove  | 22.96 | 47.38 |
|    skateboard    |  17.5 | 54.46 |
|    surfboard     | 28.35 | 72.21 |
|  tennis racket   |  6.41 | 48.29 |
|      bottle      | 24.86 | 52.74 |
|    wine glass    | 30.61 |  70.7 |
|       cup        | 17.35 | 24.75 |
|       fork       | 13.84 | 15.23 |
|      knife       |  4.7  |  6.16 |
|      spoon       | 18.67 | 32.17 |
|       bowl       | 12.32 | 16.16 |
|      banana      | 36.61 | 45.88 |
|      apple       | 11.36 | 12.77 |
|     sandwich     | 13.43 | 14.54 |
|      orange      |  22.6 |  25.8 |
|     broccoli     |  7.32 |  7.74 |
|      carrot      | 25.36 | 26.09 |
|     hot dog      | 34.51 | 40.39 |
|      pizza       | 43.99 | 52.61 |
|      donut       |  50.2 |  54.6 |
|       cake       | 47.53 | 69.58 |
|      chair       |  14.8 | 16.03 |
|      couch       | 46.51 | 57.71 |
|   potted plant   |  8.82 |  11.6 |
|       bed        |  48.4 |  61.3 |
|   dining table   | 11.46 | 12.58 |
|      toilet      | 30.13 | 76.15 |
|        tv        | 28.66 | 36.42 |
|      laptop      | 43.49 | 64.32 |
|      mouse       |  20.7 | 43.46 |
|      remote      | 14.62 | 66.52 |
|     keyboard     | 39.06 | 58.77 |
|    cell phone    | 32.47 | 57.91 |
|    microwave     | 23.25 | 29.85 |
|       oven       | 24.07 | 69.81 |
|     toaster      | 20.16 | 51.89 |
