[2026-04-14 21:49:25 CLIP_DINOiser_fast] (run_remix_training_experiment.py 150): INFO Training finished. Running evaluation...
[2026-04-14 21:59:03 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-04-14 21:59:03 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|      stone       |  7.42 | 11.69 |
|      straw       |  16.1 | 20.03 |
| structural-other |  0.2  |  0.41 |
|      table       |  6.25 |  8.47 |
|       tent       |  5.99 | 12.28 |
|  textile-other   |  4.66 |  6.8  |
|      towel       | 10.05 | 41.63 |
|       tree       | 35.62 | 38.63 |
|    vegetable     | 15.54 |  46.8 |
|    wall-brick    | 29.31 | 40.49 |
|  wall-concrete   |  3.15 |  3.22 |
|    wall-other    |  6.13 | 11.34 |
|    wall-panel    |  1.99 |  2.57 |
|    wall-stone    | 24.14 |  35.0 |
|    wall-tile     | 38.18 | 58.05 |
|    wall-wood     | 11.45 | 12.36 |
|   water-other    | 16.39 | 54.79 |
|    waterdrops    |  0.06 |  0.64 |
|   window-blind   | 34.73 | 44.77 |
|   window-other   | 25.36 | 47.35 |
|       wood       |  7.36 |  22.7 |
+------------------+-------+-------+
[2026-04-14 21:59:03 CLIP_DINOiser_fast] (logging.py 102): INFO Summary:
[2026-04-14 21:59:03 CLIP_DINOiser_fast] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 38.74 | 24.15 | 41.15 |
+-------+-------+-------+
