[2026-03-18 13:50:43 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 13:55:39 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 13:55:39 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.19 | 13.82 |
|     bicycle      | 52.62 | 83.22 |
|       car        | 43.08 | 75.13 |
|    motorcycle    | 66.18 | 88.63 |
|     airplane     | 41.39 | 90.21 |
|       bus        | 63.16 | 84.84 |
|      train       | 55.25 | 70.77 |
|      truck       | 38.44 | 48.01 |
|       boat       | 32.96 | 80.88 |
|  traffic light   | 20.43 | 69.23 |
|   fire hydrant   | 55.32 | 83.04 |
|    stop sign     | 59.62 | 91.19 |
|  parking meter   | 28.42 | 36.31 |
|      bench       | 36.03 | 45.87 |
|       bird       | 54.08 | 86.39 |
|       cat        | 69.42 | 88.65 |
|       dog        |  61.4 | 82.85 |
|      horse       | 61.37 | 87.14 |
|      sheep       | 73.33 | 90.58 |
|       cow        | 65.16 | 82.79 |
|     elephant     | 80.54 | 92.88 |
|       bear       |  79.1 |  90.7 |
|      zebra       | 77.77 | 93.63 |
|     giraffe      | 47.88 | 89.48 |
|     backpack     |  7.9  | 56.02 |
|     umbrella     | 32.82 | 70.33 |
|     handbag      |  8.52 | 11.28 |
|       tie        |  1.03 | 50.65 |
|     suitcase     | 46.21 | 53.69 |
|     frisbee      | 11.56 | 51.19 |
|       skis       |  7.36 | 54.19 |
|    snowboard     | 13.49 | 61.71 |
|   sports ball    |  2.51 | 58.35 |
|       kite       |  28.8 | 51.13 |
|   baseball bat   |  5.82 |  8.4  |
|  baseball glove  | 22.81 | 47.95 |
|    skateboard    |  17.3 | 54.18 |
|    surfboard     | 26.77 | 72.62 |
|  tennis racket   |  6.44 | 48.22 |
|      bottle      | 24.99 | 52.91 |
|    wine glass    | 30.78 | 70.66 |
|       cup        | 17.12 | 24.35 |
|       fork       | 13.57 | 14.93 |
|      knife       |  4.82 |  6.29 |
|      spoon       | 19.23 |  32.7 |
|       bowl       | 12.43 | 16.26 |
|      banana      | 37.05 | 46.63 |
|      apple       | 11.31 | 12.69 |
|     sandwich     | 13.68 | 14.79 |
|      orange      | 22.74 | 26.12 |
|     broccoli     | 12.98 |  13.9 |
|      carrot      | 27.29 | 28.16 |
|     hot dog      | 34.42 | 40.38 |
|      pizza       | 43.84 | 52.33 |
|      donut       | 50.11 |  54.5 |
|       cake       | 47.86 | 70.13 |
|      chair       | 14.68 |  15.9 |
|      couch       | 46.42 | 57.73 |
|   potted plant   |  9.1  | 12.06 |
|       bed        | 48.56 | 61.71 |
|   dining table   | 11.46 |  12.6 |
|      toilet      | 30.76 |  76.1 |
|        tv        | 28.71 | 36.49 |
|      laptop      | 43.24 | 63.96 |
|      mouse       | 20.57 | 42.74 |
|      remote      | 14.59 | 66.71 |
|     keyboard     | 38.98 | 58.64 |
|    cell phone    | 32.86 | 57.91 |
|    microwave     | 23.34 | 29.95 |
|       oven       | 24.15 | 70.15 |
|     toaster      | 20.19 | 51.94 |
|       sink       |  30.8 | 54.32 |
|   refrigerator   | 49.36 | 61.56 |
|       book       | 27.83 | 32.28 |
|      clock       | 42.71 | 82.91 |
|       vase       | 29.26 | 53.92 |
|     scissors     | 51.14 | 62.81 |
|    teddy bear    | 62.34 | 76.02 |
|    hair drier    |  1.9  | 15.64 |
|    toothbrush    | 25.14 | 54.98 |
|      banner      |  2.11 | 74.87 |
|     blanket      |  6.12 | 18.92 |
|      branch      |  6.37 | 41.11 |
|      bridge      |  23.9 |  38.5 |
|  building-other  |  30.5 | 55.71 |
|       bush       | 11.94 | 32.57 |
|     cabinet      | 24.87 | 35.35 |
|       cage       |  5.6  |  6.66 |
|    cardboard     | 22.15 | 26.18 |
|      carpet      | 38.85 | 51.24 |
|  ceiling-other   | 27.59 | 41.55 |
|   ceiling-tile   |  7.29 | 23.68 |
|      cloth       |  0.7  |  2.27 |
|     clothes      |  4.01 | 27.16 |
|      clouds      | 32.77 | 37.31 |
|     counter      | 10.18 | 33.26 |
|     cupboard     |  4.3  | 20.12 |
|     curtain      |  32.1 | 38.94 |
|    desk-stuff    | 22.68 | 38.17 |
|       dirt       |  13.0 | 14.83 |
|    door-stuff    | 14.08 | 19.47 |
|      fence       | 26.56 | 48.51 |
|   floor-marble   |  5.6  |  9.3  |
|   floor-other    |  9.01 | 38.73 |
|   floor-stone    |  1.66 |  2.9  |
|    floor-tile    |  35.0 | 40.62 |
|    floor-wood    | 23.29 | 28.12 |
|      flower      | 31.69 | 43.06 |
|       fog        | 12.68 | 16.88 |
|    food-other    | 11.22 | 74.85 |
|      fruit       | 17.67 |  64.2 |
| furniture-other  |  5.58 |  9.1  |
|      grass       | 48.86 | 61.67 |
|      gravel      | 13.33 | 24.05 |
|   ground-other   |  2.67 | 34.06 |
|       hill       |  6.38 |  7.92 |
|      house       | 11.33 | 31.23 |
|      leaves      |  7.89 |  9.73 |
|      light       |  4.15 | 29.42 |
|       mat        |  0.62 |  3.41 |
|      metal       |  4.08 |  4.66 |
|   mirror-stuff   | 12.63 | 15.22 |
|       moss       |  0.0  |  0.0  |
|     mountain     | 36.38 | 60.21 |
|       mud        |  0.09 |  0.28 |
|      napkin      |  9.46 | 37.87 |
|       net        |  9.94 |  25.8 |
|      paper       | 13.68 | 26.11 |
|     pavement     |  31.7 | 49.78 |
|      pillow      |  5.02 | 17.63 |
|   plant-other    |  5.13 |  7.39 |
|     plastic      |  3.49 |  3.67 |
|     platform     |  6.1  |  9.41 |
|   playingfield   |  0.2  |  0.2  |
|     railing      |  3.67 | 10.73 |
|     railroad     | 37.89 | 84.21 |
|      river       | 40.81 | 60.14 |
|       road       | 31.05 |  39.8 |
|       rock       | 31.01 | 44.06 |
|       roof       |  4.72 | 28.23 |
|       rug        | 19.65 | 25.18 |
|      salad       | 12.17 | 27.58 |
|       sand       | 41.37 | 51.37 |
|       sea        | 49.03 | 60.51 |
|      shelf       | 14.56 |  17.1 |
|    sky-other     | 47.11 | 56.48 |
|    skyscraper    | 22.57 | 39.75 |
|       snow       | 69.76 | 87.02 |
|   solid-other    |  0.13 |  0.66 |
|      stairs      |  9.97 | 16.45 |
|      stone       |  7.4  | 11.79 |
|      straw       | 16.09 |  20.2 |
| structural-other |  0.19 |  0.41 |
|      table       |  6.43 |  8.73 |
|       tent       |  6.06 | 12.54 |
|  textile-other   |  4.48 |  6.56 |
|      towel       |  9.85 |  42.3 |
|       tree       | 34.06 | 36.95 |
|    vegetable     | 14.96 | 44.93 |
|    wall-brick    | 29.27 |  40.4 |
|  wall-concrete   |  3.24 |  3.31 |
|    wall-other    |  6.27 | 11.63 |
|    wall-panel    |  1.99 |  2.61 |
|    wall-stone    | 24.43 |  35.4 |
|    wall-tile     | 39.44 | 59.83 |
|    wall-wood     | 11.93 | 12.92 |
|   water-other    | 16.07 | 53.07 |
|    waterdrops    |  0.07 |  0.77 |
|   window-blind   | 34.65 | 44.96 |
|   window-other   | 25.41 | 47.19 |
|       wood       |  7.7  | 24.09 |
+------------------+-------+-------+
[2026-03-18 13:55:39 CLIP_DINOiser_fast] (logging.py 102): INFO Summary:
[2026-03-18 13:55:39 CLIP_DINOiser_fast] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 38.63 | 24.31 | 41.33 |
+-------+-------+-------+
