[2026-03-29 20:10:35 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-29 20:12:04 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-29 20:12:04 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 16.23 | 17.33 |
|     bicycle      | 44.25 | 83.43 |
|       car        | 38.64 | 70.07 |
|    motorcycle    | 61.64 | 75.44 |
|     airplane     | 66.62 | 96.75 |
|       bus        |  66.3 | 84.68 |
|      train       | 37.44 |  48.3 |
|      truck       | 18.97 | 23.62 |
|       boat       | 52.31 | 79.89 |
|  traffic light   | 22.49 | 61.46 |
|   fire hydrant   | 44.59 | 62.13 |
|    stop sign     | 12.51 | 85.35 |
|  parking meter   |  8.93 | 11.48 |
|      bench       | 22.04 | 32.33 |
|       bird       | 46.52 | 80.32 |
|       cat        | 70.09 | 96.67 |
|       dog        | 68.48 | 93.39 |
|      horse       | 50.85 | 72.54 |
|      sheep       | 52.35 | 74.04 |
|       cow        | 63.29 | 90.66 |
|     elephant     | 86.15 | 96.92 |
|       bear       | 84.19 | 93.72 |
|      zebra       | 78.52 | 93.42 |
|     giraffe      |  46.5 | 81.11 |
|     backpack     |  1.88 | 13.21 |
|     umbrella     | 39.93 |  55.3 |
|     handbag      |  0.18 |  0.3  |
|       tie        |  1.4  | 45.61 |
|     suitcase     |  55.0 | 64.43 |
|     frisbee      |  5.27 | 60.68 |
|       skis       | 11.66 |  70.2 |
|    snowboard     |  0.01 |  0.46 |
|   sports ball    |  1.05 | 38.73 |
|       kite       | 35.53 | 59.94 |
|   baseball bat   |  0.0  |  0.0  |
|  baseball glove  |  0.0  |  0.0  |
|    skateboard    | 16.91 |  21.3 |
|    surfboard     | 29.03 | 89.06 |
|  tennis racket   |  4.24 | 20.62 |
|      bottle      | 36.26 | 52.59 |
|    wine glass    | 22.66 | 48.52 |
|       cup        |  1.68 |  2.69 |
|       fork       |  0.0  |  0.0  |
|      knife       |  0.0  |  0.0  |
|      spoon       | 61.08 | 90.64 |
|       bowl       |  8.36 | 15.51 |
|      banana      | 18.27 | 18.65 |
|      apple       |  0.0  |  0.0  |
|     sandwich     |  0.0  |  0.0  |
|      orange      |  0.0  |  0.0  |
|     broccoli     |  0.0  |  0.0  |
|      carrot      | 25.36 | 25.41 |
