[2026-03-18 13:45:46 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 13:50:04 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 13:50:04 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 12.94 | 13.56 |
|     bicycle      | 52.97 | 83.35 |
|       car        | 43.08 | 74.48 |
|    motorcycle    | 66.76 | 88.26 |
|     airplane     | 40.76 | 90.53 |
|       bus        | 63.05 | 83.99 |
|      train       | 55.14 | 70.76 |
|      truck       | 37.98 | 47.42 |
|       boat       | 32.78 | 81.16 |
|  traffic light   | 20.83 |  69.8 |
|   fire hydrant   | 54.91 | 82.81 |
|    stop sign     | 59.63 | 91.16 |
|  parking meter   | 28.59 |  36.8 |
|      bench       | 36.02 | 45.86 |
|       bird       | 53.51 |  86.5 |
|       cat        | 69.36 | 88.64 |
|       dog        | 61.19 | 83.06 |
|      horse       | 61.48 | 87.61 |
|      sheep       | 73.09 | 90.73 |
|       cow        | 65.06 | 83.13 |
|     elephant     | 80.14 | 93.58 |
|       bear       | 78.93 | 90.92 |
|      zebra       | 76.86 | 94.45 |
|     giraffe      | 47.26 | 90.71 |
|     backpack     |  7.95 | 56.67 |
|     umbrella     | 32.72 | 70.35 |
|     handbag      |  8.81 | 11.75 |
|       tie        |  1.08 | 52.53 |
|     suitcase     | 46.54 | 53.97 |
|     frisbee      | 11.78 | 52.43 |
|       skis       |  7.74 | 54.96 |
|    snowboard     | 13.56 | 61.15 |
|   sports ball    |  2.56 | 57.99 |
|       kite       | 27.86 | 51.31 |
|   baseball bat   |  5.67 |  8.38 |
|  baseball glove  |  22.7 | 48.03 |
|    skateboard    | 17.65 | 54.35 |
|    surfboard     | 30.97 | 71.95 |
|  tennis racket   |  6.51 | 48.44 |
|      bottle      | 24.93 | 53.47 |
|    wine glass    | 30.56 | 71.97 |
|       cup        | 17.31 | 24.81 |
|       fork       | 14.13 |  15.6 |
|      knife       |  4.62 |  6.12 |
|      spoon       | 19.07 | 32.87 |
|       bowl       | 12.28 | 16.02 |
|      banana      | 36.62 | 46.06 |
|      apple       | 11.49 | 12.88 |
|     sandwich     | 13.23 | 14.31 |
|      orange      | 22.97 |  26.3 |
|     broccoli     |  9.64 |  10.3 |
|      carrot      | 27.41 | 28.27 |
|     hot dog      | 34.19 | 40.03 |
|      pizza       | 43.96 | 52.78 |
|      donut       | 49.32 | 53.75 |
|       cake       | 47.88 | 70.05 |
|      chair       | 14.76 | 15.98 |
|      couch       | 46.33 | 57.33 |
|   potted plant   |  8.95 | 11.85 |
|       bed        |  48.3 | 61.21 |
|   dining table   | 11.09 | 12.16 |
|      toilet      | 30.43 | 76.27 |
|        tv        | 28.68 | 36.48 |
|      laptop      | 43.55 | 64.84 |
|      mouse       | 20.57 | 42.61 |
|      remote      | 14.49 | 66.47 |
|     keyboard     | 38.32 | 57.79 |
|    cell phone    | 32.43 | 58.04 |
