[2026-03-18 12:28:20 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 12:33:19 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 12:33:19 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|      stone       |  7.39 | 11.75 |
|      straw       | 16.07 | 20.32 |
| structural-other |  0.19 |  0.4  |
|      table       |  6.46 |  8.77 |
|       tent       |  6.03 | 12.44 |
|  textile-other   |  4.5  |  6.6  |
|      towel       |  9.84 | 42.49 |
|       tree       | 34.23 | 37.34 |
|    vegetable     | 15.13 | 44.65 |
|    wall-brick    |  29.3 | 40.54 |
|  wall-concrete   |  3.25 |  3.33 |
|    wall-other    |  6.26 | 11.62 |
|    wall-panel    |  1.98 |  2.59 |
|    wall-stone    | 24.15 | 35.34 |
|    wall-tile     | 39.14 | 59.47 |
|    wall-wood     |  12.0 | 12.99 |
|   water-other    | 16.06 | 52.99 |
|    waterdrops    |  0.07 |  0.83 |
|   window-blind   | 35.17 | 45.97 |
|   window-other   | 25.58 |  47.3 |
|       wood       |  7.62 | 23.98 |
+------------------+-------+-------+
[2026-03-18 12:33:19 CLIP_DINOiser_fast] (logging.py 102): INFO Summary:
[2026-03-18 12:33:19 CLIP_DINOiser_fast] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 38.63 | 24.29 | 41.37 |
+-------+-------+-------+
