[2026-04-14 21:39:14 CLIP_DINOiser_fast] (run_remix_training_experiment.py 150): INFO Training finished. Running evaluation...
[2026-04-14 21:48:47 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-04-14 21:48:47 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|      stone       |  7.9  | 12.19 |
|      straw       | 16.18 | 20.24 |
| structural-other |  0.2  |  0.38 |
|      table       |  5.39 |  7.46 |
|       tent       |  5.68 |  11.4 |
|  textile-other   |  4.66 |  6.87 |
|      towel       | 10.06 | 42.06 |
|       tree       | 30.79 |  32.9 |
|    vegetable     | 15.72 | 44.89 |
|    wall-brick    | 26.72 | 35.91 |
|  wall-concrete   |  2.78 |  2.84 |
|    wall-other    |  6.03 | 11.23 |
|    wall-panel    |  1.92 |  2.43 |
|    wall-stone    | 22.42 | 32.32 |
|    wall-tile     | 38.24 | 59.41 |
|    wall-wood     |  9.6  | 10.33 |
|   water-other    | 16.49 | 55.45 |
|    waterdrops    |  0.01 |  0.09 |
|   window-blind   | 33.28 | 40.48 |
|   window-other   | 25.01 | 46.38 |
|       wood       |  7.7  | 22.16 |
+------------------+-------+-------+
[2026-04-14 21:48:47 CLIP_DINOiser_fast] (logging.py 102): INFO Summary:
[2026-04-14 21:48:47 CLIP_DINOiser_fast] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 37.56 | 23.88 | 39.71 |
+-------+-------+-------+
