[2026-03-18 12:53:50 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 12:58:51 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 12:58:51 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.11 | 13.74 |
|     bicycle      | 52.64 | 83.58 |
|       car        |  43.2 | 75.25 |
|    motorcycle    | 65.84 | 88.73 |
|     airplane     | 41.19 | 90.01 |
|       bus        | 62.67 | 84.28 |
|      train       | 54.89 | 69.92 |
|      truck       | 38.47 | 48.19 |
|       boat       | 32.85 | 80.94 |
|  traffic light   | 20.68 | 69.69 |
|   fire hydrant   | 55.25 | 82.84 |
|    stop sign     | 59.69 | 91.29 |
|  parking meter   | 28.42 | 36.32 |
|      bench       | 36.07 | 45.91 |
|       bird       | 53.76 | 86.22 |
|       cat        | 69.67 | 88.23 |
|       dog        |  61.4 | 82.52 |
|      horse       | 61.33 | 87.25 |
|      sheep       | 73.51 | 89.94 |
|       cow        | 65.16 | 82.37 |
|     elephant     | 80.48 | 93.07 |
|       bear       | 79.16 | 90.31 |
|      zebra       |  77.8 | 93.68 |
|     giraffe      | 47.66 | 89.38 |
|     backpack     |  7.89 |  56.2 |
|     umbrella     |  32.7 | 70.33 |
|     handbag      |  8.56 | 11.37 |
|       tie        |  1.08 |  52.7 |
|     suitcase     | 45.96 |  53.4 |
|     frisbee      | 11.65 | 51.88 |
|       skis       |  7.63 | 53.28 |
|    snowboard     |  13.4 | 60.69 |
|   sports ball    |  2.55 | 57.52 |
|       kite       | 28.15 | 51.16 |
|   baseball bat   |  5.79 |  8.46 |
|  baseball glove  | 22.45 | 47.66 |
|    skateboard    | 17.32 | 54.01 |
|    surfboard     |  28.9 |  72.2 |
|  tennis racket   |  6.49 |  48.3 |
|      bottle      | 25.13 |  53.3 |
|    wine glass    | 30.55 | 70.97 |
|       cup        | 17.21 | 24.52 |
|       fork       | 13.04 | 14.29 |
|      knife       |  4.59 |  5.94 |
|      spoon       | 18.99 | 31.85 |
|       bowl       |  12.4 | 16.23 |
|      banana      | 36.31 | 45.77 |
