[2026-03-29 20:12:48 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-29 20:14:44 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-29 20:14:44 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 16.26 | 17.36 |
|     bicycle      | 44.29 | 83.13 |
|       car        | 38.89 | 69.95 |
|    motorcycle    | 60.91 | 75.69 |
|     airplane     | 65.66 | 96.83 |
|       bus        | 66.56 | 85.54 |
|      train       | 38.03 | 48.74 |
|      truck       | 18.98 | 23.42 |
|       boat       |  52.6 |  80.6 |
|  traffic light   |  22.5 | 63.13 |
|   fire hydrant   | 45.44 | 63.63 |
|    stop sign     | 11.68 | 81.46 |
|  parking meter   |  6.07 |  7.78 |
|      bench       | 22.11 | 32.79 |
|       bird       | 45.87 | 79.82 |
|       cat        | 70.19 | 96.51 |
|       dog        | 68.63 | 93.18 |
|      horse       | 49.76 | 71.69 |
|      sheep       | 52.68 |  73.6 |
|       cow        | 63.54 | 90.33 |
|     elephant     | 85.98 | 96.76 |
|       bear       | 84.14 | 93.55 |
|      zebra       | 78.29 | 93.33 |
|     giraffe      | 46.68 |  80.6 |
|     backpack     |  1.67 | 11.86 |
|     umbrella     |  39.1 | 54.69 |
|     handbag      |  0.19 |  0.33 |
|       tie        |  1.36 | 45.49 |
|     suitcase     | 55.01 | 64.49 |
|     frisbee      |  5.31 | 61.29 |
|       skis       | 11.87 | 71.06 |
|    snowboard     |  0.0  |  0.12 |
|   sports ball    |  1.15 | 43.64 |
|       kite       | 35.83 | 60.46 |
|   baseball bat   |  0.0  |  0.0  |
|  baseball glove  |  0.0  |  0.0  |
|    skateboard    | 11.34 | 14.09 |
|    surfboard     | 28.61 | 89.05 |
|  tennis racket   |  4.32 | 20.37 |
|      bottle      |  36.3 | 51.96 |
|    wine glass    | 17.55 | 36.65 |
|       cup        |  1.64 |  2.62 |
|       fork       |  0.0  |  0.0  |
|      knife       |  0.0  |  0.0  |
|      spoon       | 61.51 | 89.97 |
|       bowl       |  8.19 | 15.15 |
|      banana      | 17.87 | 18.29 |
|      apple       |  0.0  |  0.0  |
|     sandwich     |  0.0  |  0.0  |
|      orange      |  0.0  |  0.0  |
|     broccoli     |  0.0  |  0.0  |
|      carrot      | 26.42 | 26.48 |
|     hot dog      |  0.0  |  0.0  |
|      pizza       | 10.46 | 15.66 |
|      donut       |  0.0  |  0.0  |
|       cake       | 17.71 | 33.73 |
|      chair       |  1.19 |  1.36 |
|      couch       | 27.65 | 37.34 |
|   potted plant   |  2.4  |  2.41 |
|       bed        |  37.0 | 46.33 |
|   dining table   | 14.98 | 18.05 |
|      toilet      | 33.71 | 94.42 |
|        tv        |  15.9 | 17.91 |
|      laptop      | 40.37 | 52.77 |
|      mouse       | 42.18 | 86.25 |
|      remote      |  7.81 | 60.47 |
|     keyboard     | 41.96 | 94.64 |
|    cell phone    | 21.47 | 27.78 |
|    microwave     | 20.81 | 22.22 |
|       oven       |  32.1 |  62.4 |
|     toaster      |  0.0  |  0.0  |
|       sink       | 21.43 | 41.66 |
|   refrigerator   | 26.01 | 30.42 |
|       book       | 38.06 | 43.81 |
|      clock       |  6.95 | 12.51 |
|       vase       | 59.39 | 77.28 |
|     scissors     |  0.0  |  0.0  |
|    teddy bear    |  0.74 |  0.75 |
|    hair drier    |  0.0  |  nan  |
|    toothbrush    |  0.0  |  0.0  |
|      banner      |  2.17 | 86.21 |
|     blanket      |  5.44 | 12.73 |
|      branch      |  1.21 |  3.02 |
|      bridge      | 24.79 |  27.2 |
|  building-other  | 22.41 | 45.61 |
|       bush       |  4.27 | 18.52 |
|     cabinet      | 29.33 | 46.74 |
|       cage       | 20.62 | 29.84 |
|    cardboard     |  1.35 |  1.97 |
|      carpet      | 52.24 | 60.81 |
|  ceiling-other   | 26.07 |  48.0 |
|   ceiling-tile   |  0.0  |  nan  |
|      cloth       |  0.0  |  0.0  |
|     clothes      |  2.03 | 10.03 |
|      clouds      | 54.22 | 60.71 |
|     counter      | 12.36 | 34.62 |
|     cupboard     |  0.0  |  0.0  |
|     curtain      | 27.87 | 32.03 |
|    desk-stuff    |  21.6 | 29.28 |
|       dirt       |  6.73 |  7.83 |
|    door-stuff    |  5.6  |  5.99 |
|      fence       | 22.84 | 36.13 |
|   floor-marble   |  14.0 | 54.34 |
|   floor-other    |  5.8  |  39.5 |
|   floor-stone    | 10.13 | 11.26 |
|    floor-tile    | 24.22 | 26.26 |
|    floor-wood    | 37.27 | 42.57 |
|      flower      |  0.0  |  0.0  |
|       fog        |  0.61 |  1.07 |
|    food-other    |  6.91 | 59.65 |
|      fruit       |  11.9 | 68.23 |
| furniture-other  |  5.91 |  8.97 |
|      grass       | 52.94 | 63.33 |
|      gravel      |  0.76 |  0.78 |
|   ground-other   |  1.45 | 17.84 |
|       hill       |  0.38 |  0.56 |
|      house       | 13.73 | 42.19 |
|      leaves      |  0.0  |  0.0  |
|      light       |  2.39 |  13.0 |
|       mat        |  0.0  |  nan  |
|      metal       |  5.45 |  5.82 |
|   mirror-stuff   | 14.16 | 20.88 |
|       moss       |  0.0  |  0.0  |
|     mountain     | 42.49 | 60.85 |
|       mud        |  0.0  |  0.0  |
|      napkin      |  0.0  |  0.0  |
|       net        |  3.21 | 13.67 |
|      paper       |  0.66 |  2.68 |
|     pavement     | 33.02 | 54.86 |
|      pillow      |  0.13 |  0.22 |
|   plant-other    | 11.71 | 23.01 |
|     plastic      |  1.82 |  1.87 |
|     platform     |  0.34 |  0.6  |
|   playingfield   |  1.54 |  1.56 |
|     railing      |  0.18 |  0.49 |
|     railroad     | 38.13 | 91.84 |
|      river       | 58.05 | 69.23 |
|       road       | 31.89 | 43.23 |
|       rock       | 38.46 | 54.12 |
|       roof       | 12.28 | 55.84 |
|       rug        |  1.79 |  2.4  |
|      salad       |  0.0  |  nan  |
|       sand       | 32.69 | 38.64 |
|       sea        | 43.05 | 55.38 |
|      shelf       | 32.51 | 35.11 |
|    sky-other     | 50.84 | 57.07 |
|    skyscraper    | 12.31 | 19.64 |
|       snow       | 58.19 |  73.5 |
|   solid-other    |  1.51 |  3.67 |
|      stairs      |  0.0  |  0.0  |
|      stone       | 37.29 | 51.11 |
|      straw       |  0.0  |  0.0  |
| structural-other |  0.0  |  0.0  |
|      table       | 15.69 | 20.04 |
|       tent       | 22.93 | 72.13 |
|  textile-other   |  1.74 |  2.13 |
|      towel       | 28.59 | 69.24 |
|       tree       | 24.85 | 27.93 |
|    vegetable     | 25.56 |  44.6 |
|    wall-brick    | 42.33 |  63.4 |
|  wall-concrete   |  2.25 |  2.27 |
|    wall-other    |  2.34 |  4.23 |
|    wall-panel    |  0.0  |  0.01 |
|    wall-stone    | 37.82 | 52.59 |
|    wall-tile     | 48.79 | 64.12 |
|    wall-wood     |  0.48 |  0.51 |
|   water-other    | 19.83 | 54.78 |
|    waterdrops    |  0.0  |  nan  |
|   window-blind   | 21.65 | 22.11 |
|   window-other   | 25.14 | 55.02 |
|       wood       |  2.34 |  4.65 |
+------------------+-------+-------+
[2026-03-29 20:14:44 CLIP_DINOiser_fast] (logging.py 102): INFO Summary:
[2026-03-29 20:14:44 CLIP_DINOiser_fast] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 37.16 | 20.23 | 34.95 |
+-------+-------+-------+
