[2026-03-18 11:56:43 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 12:01:35 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 12:01:35 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|      stone       |  7.46 | 11.83 |
|      straw       | 16.08 | 20.23 |
| structural-other |  0.19 |  0.4  |
|      table       |  6.45 |  8.73 |
|       tent       |  6.01 | 12.47 |
|  textile-other   |  4.51 |  6.6  |
|      towel       |  9.88 |  42.5 |
|       tree       | 34.02 | 36.93 |
|    vegetable     | 14.97 | 45.37 |
|    wall-brick    | 29.46 | 40.53 |
|  wall-concrete   |  3.23 |  3.31 |
|    wall-other    |  6.27 | 11.66 |
|    wall-panel    |  2.02 |  2.64 |
|    wall-stone    | 24.39 | 35.45 |
|    wall-tile     | 39.23 | 59.72 |
|    wall-wood     | 11.91 | 12.89 |
|   water-other    | 16.03 | 53.07 |
|    waterdrops    |  0.07 |  0.77 |
|   window-blind   | 34.91 | 45.69 |
|   window-other   | 25.48 | 47.49 |
|       wood       |  7.61 | 23.97 |
+------------------+-------+-------+
[2026-03-18 12:01:35 CLIP_DINOiser_fast] (logging.py 102): INFO Summary:
[2026-03-18 12:01:35 CLIP_DINOiser_fast] (logging.py 102): INFO 
+-------+------+-------+
|  aAcc | mIoU |  mAcc |
+-------+------+-------+
| 38.65 | 24.3 | 41.36 |
+-------+------+-------+
