[2026-04-14 19:34:58 CLIP_DINOiser_fast] (run_remix_training_experiment.py 150): INFO Training finished. Running evaluation...
[2026-04-14 19:44:38 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-04-14 19:44:38 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      |  13.2 | 13.84 |
|     bicycle      | 53.09 | 83.52 |
|       car        | 43.32 | 75.31 |
|    motorcycle    | 66.44 | 88.59 |
|     airplane     | 41.04 |  90.0 |
|       bus        |  63.1 | 84.75 |
|      train       | 55.57 | 71.15 |
|      truck       | 38.41 | 47.77 |
|       boat       | 32.71 | 80.61 |
|  traffic light   | 20.81 | 69.11 |
|   fire hydrant   |  55.0 | 82.78 |
|    stop sign     | 60.11 | 91.06 |
|  parking meter   | 28.39 | 36.46 |
|      bench       | 36.08 | 45.76 |
|       bird       | 53.69 | 86.63 |
|       cat        | 69.37 | 88.64 |
|       dog        |  61.2 | 82.82 |
|      horse       | 61.22 | 87.38 |
|      sheep       | 73.38 | 90.29 |
|       cow        | 65.33 | 82.76 |
|     elephant     | 80.71 | 92.66 |
|       bear       | 79.14 | 90.67 |
|      zebra       | 77.54 | 93.79 |
|     giraffe      | 47.95 | 89.68 |
|     backpack     |  7.93 | 56.58 |
|     umbrella     |  33.1 | 70.24 |
|     handbag      |  8.55 | 11.39 |
|       tie        |  1.13 | 55.29 |
|     suitcase     | 46.39 | 53.58 |
|     frisbee      | 11.73 | 51.86 |
|       skis       |  7.58 | 53.39 |
|    snowboard     | 13.29 | 60.35 |
|   sports ball    |  2.51 | 57.82 |
|       kite       | 28.79 | 51.33 |
|   baseball bat   |  5.65 |  8.07 |
|  baseball glove  | 22.72 | 46.58 |
|    skateboard    | 17.61 | 54.16 |
|    surfboard     | 29.07 | 71.41 |
|  tennis racket   |  6.53 | 48.05 |
|      bottle      | 25.06 | 53.16 |
|    wine glass    | 30.63 | 70.65 |
|       cup        | 17.27 | 24.57 |
|       fork       | 13.93 | 15.36 |
|      knife       |  4.79 |  6.25 |
|      spoon       | 18.63 | 31.98 |
|       bowl       | 12.37 |  16.2 |
|      banana      | 36.32 | 45.62 |
|      apple       | 11.38 | 12.74 |
|     sandwich     | 13.26 | 14.31 |
|      orange      | 22.47 | 25.69 |
|     broccoli     |  8.44 |  8.97 |
|      carrot      | 25.38 | 26.16 |
|     hot dog      | 34.42 | 40.37 |
|      pizza       | 43.94 | 52.47 |
|      donut       | 50.19 | 54.59 |
|       cake       | 47.99 | 69.76 |
|      chair       | 14.73 | 15.96 |
|      couch       | 46.41 | 57.33 |
|   potted plant   |  8.79 | 11.52 |
|       bed        | 48.19 |  60.8 |
|   dining table   | 11.47 | 12.59 |
|      toilet      | 30.59 | 76.13 |
|        tv        | 28.72 | 36.48 |
|      laptop      | 43.64 | 65.11 |
|      mouse       | 20.12 | 42.25 |
|      remote      | 14.76 | 66.92 |
|     keyboard     | 38.63 | 57.99 |
|    cell phone    | 32.92 | 58.08 |
|    microwave     | 22.88 |  29.3 |
|       oven       | 24.13 | 70.16 |
|     toaster      | 20.17 | 52.08 |
|       sink       | 30.99 | 54.79 |
|   refrigerator   | 49.28 | 61.54 |
|       book       | 28.03 | 32.41 |
|      clock       | 43.45 | 82.88 |
|       vase       | 29.11 | 55.38 |
|     scissors     | 51.43 | 62.84 |
|    teddy bear    | 62.35 | 76.13 |
|    hair drier    |  1.9  | 15.56 |
|    toothbrush    | 24.66 | 54.55 |
|      banner      |  2.09 | 74.67 |
|     blanket      |  6.24 | 19.32 |
|      branch      |  6.23 | 41.02 |
|      bridge      | 24.11 | 38.84 |
|  building-other  | 30.54 | 56.32 |
|       bush       | 11.97 | 32.63 |
|     cabinet      | 24.93 | 35.46 |
|       cage       |  5.59 |  6.64 |
|    cardboard     | 22.14 | 26.05 |
|      carpet      | 38.99 | 51.62 |
|  ceiling-other   | 27.65 | 41.55 |
|   ceiling-tile   |  7.32 | 23.53 |
|      cloth       |  0.71 |  2.26 |
|     clothes      |  4.02 | 27.62 |
|      clouds      | 32.68 | 37.19 |
|     counter      | 10.21 | 33.12 |
