[2026-04-15 14:33:18 CLIP_DINOiser_fast_backbone_grad] (run_remix_training_experiment.py 150): INFO Training finished. Running evaluation...
[2026-04-15 14:39:49 CLIP_DINOiser_fast_backbone_grad] (logging.py 102): INFO per class results:
[2026-04-15 14:39:49 CLIP_DINOiser_fast_backbone_grad] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|      stairs      |  9.17 | 14.07 |
|      stone       |  2.31 |  3.99 |
|      straw       |  9.57 | 11.03 |
| structural-other |  0.18 |  0.39 |
|      table       |  3.94 |  4.76 |
|       tent       |  5.82 | 13.35 |
|  textile-other   |  4.73 |  6.63 |
|      towel       |  8.8  | 43.39 |
|       tree       | 38.67 | 43.68 |
|    vegetable     | 13.31 | 53.29 |
|    wall-brick    | 22.31 | 28.71 |
|  wall-concrete   |  7.16 |  7.58 |
|    wall-other    |  3.42 |  4.35 |
|    wall-panel    |  2.57 |  4.63 |
|    wall-stone    | 19.93 | 34.69 |
|    wall-tile     | 37.93 | 53.14 |
|    wall-wood     |  8.45 |  8.91 |
|   water-other    |  11.7 | 24.86 |
|    waterdrops    |  0.0  |  0.01 |
|   window-blind   | 31.51 | 37.54 |
|   window-other   | 25.41 | 46.07 |
|       wood       |  7.0  | 23.27 |
+------------------+-------+-------+
[2026-04-15 14:39:49 CLIP_DINOiser_fast_backbone_grad] (logging.py 102): INFO Summary:
[2026-04-15 14:39:49 CLIP_DINOiser_fast_backbone_grad] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 38.02 | 23.22 | 41.16 |
+-------+-------+-------+
