[2026-03-18 13:34:04 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 13:39:56 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 13:39:56 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.14 | 13.78 |
|     bicycle      |  52.9 | 83.52 |
|       car        | 42.89 |  75.2 |
|    motorcycle    | 66.21 | 88.46 |
|     airplane     |  41.7 | 89.59 |
|       bus        |  62.8 | 84.42 |
|      train       | 55.08 | 70.51 |
|      truck       | 38.33 | 47.85 |
|       boat       | 32.75 | 80.83 |
|  traffic light   | 20.75 |  68.5 |
|   fire hydrant   | 54.97 | 82.77 |
|    stop sign     | 60.39 | 90.95 |
|  parking meter   | 28.42 | 36.22 |
|      bench       | 36.05 | 46.11 |
|       bird       | 54.02 | 86.28 |
|       cat        | 69.48 | 88.54 |
|       dog        | 61.19 |  82.3 |
|      horse       | 61.27 |  86.9 |
|      sheep       | 73.76 | 89.83 |
|       cow        | 65.46 | 81.98 |
|     elephant     | 80.77 |  92.4 |
|       bear       | 79.21 | 90.24 |
|      zebra       | 78.65 | 92.88 |
|     giraffe      |  48.0 | 88.95 |
|     backpack     |  7.9  | 56.15 |
|     umbrella     | 32.88 | 70.39 |
|     handbag      |  8.56 | 11.36 |
|       tie        |  1.1  | 53.92 |
|     suitcase     | 46.05 | 53.57 |
|     frisbee      | 11.87 | 51.47 |
|       skis       |  7.74 | 56.23 |
|    snowboard     | 13.64 | 62.78 |
|   sports ball    |  2.51 |  58.3 |
|       kite       | 29.25 | 50.64 |
|   baseball bat   |  5.74 |  8.77 |
|  baseball glove  | 22.24 | 46.96 |
|    skateboard    | 17.38 | 54.76 |
|    surfboard     | 26.25 | 72.89 |
|  tennis racket   |  6.59 | 48.59 |
|      bottle      | 24.97 |  52.9 |
|    wine glass    | 30.72 | 70.87 |
|       cup        | 17.15 | 24.48 |
|       fork       |  13.6 | 15.03 |
|      knife       |  4.81 |  6.28 |
|      spoon       | 18.65 | 32.13 |
|       bowl       | 12.33 | 16.12 |
|      banana      | 36.02 | 45.42 |
|      apple       | 11.24 | 12.64 |
|     sandwich     | 13.44 | 14.51 |
|      orange      | 22.14 | 25.35 |
|     broccoli     |  8.86 |  9.44 |
|      carrot      | 24.71 | 25.47 |
|     hot dog      | 34.12 | 39.91 |
|      pizza       | 43.36 | 51.71 |
|      donut       | 49.79 | 54.14 |
|       cake       | 47.66 | 69.94 |
|      chair       | 14.62 | 15.84 |
|      couch       | 46.35 | 57.48 |
|   potted plant   |  9.06 | 11.99 |
|       bed        | 48.33 | 61.26 |
|   dining table   | 11.31 | 12.42 |
|      toilet      | 30.82 | 76.15 |
|        tv        | 28.65 | 36.31 |
|      laptop      |  43.3 | 64.23 |
|      mouse       | 20.05 | 42.06 |
|      remote      | 14.55 | 66.59 |
|     keyboard     | 38.88 | 58.94 |
|    cell phone    | 32.84 | 58.09 |
|    microwave     | 22.46 | 28.91 |
|       oven       |  24.0 | 69.91 |
|     toaster      | 20.39 | 52.15 |
|       sink       | 31.14 | 54.87 |
|   refrigerator   | 49.22 | 61.71 |
|       book       | 27.73 | 32.15 |
|      clock       | 42.35 | 82.93 |
|       vase       | 29.36 | 55.63 |
|     scissors     |  51.1 | 62.72 |
|    teddy bear    | 62.35 | 76.02 |
|    hair drier    |  1.91 | 15.44 |
|    toothbrush    | 25.14 | 55.36 |
|      banner      |  2.11 | 74.97 |
|     blanket      |  6.2  | 19.25 |
|      branch      |  6.43 | 41.27 |
|      bridge      | 23.74 | 38.58 |
|  building-other  | 30.61 | 56.04 |
|       bush       | 11.77 | 32.04 |
|     cabinet      | 25.03 | 35.65 |
|       cage       |  5.62 |  6.68 |
|    cardboard     |  22.4 |  26.4 |
|      carpet      | 39.16 | 51.83 |
|  ceiling-other   | 27.89 |  41.8 |
|   ceiling-tile   |  7.19 | 23.31 |
|      cloth       |  0.7  |  2.26 |
|     clothes      |  4.0  |  27.3 |
|      clouds      |  32.6 | 37.03 |
|     counter      | 10.17 | 33.26 |
|     cupboard     |  4.29 | 20.13 |
|     curtain      | 32.09 | 38.93 |
|    desk-stuff    | 22.47 | 37.39 |
|       dirt       | 12.96 | 14.73 |
|    door-stuff    | 14.12 | 19.53 |
|      fence       |  26.5 | 48.65 |
|   floor-marble   |  5.54 |  9.23 |
|   floor-other    |  9.0  | 38.61 |
|   floor-stone    |  1.59 |  2.78 |
|    floor-tile    | 35.18 | 40.74 |
|    floor-wood    | 23.67 | 28.63 |
|      flower      |  31.8 | 42.75 |
|       fog        | 12.82 | 17.02 |
|    food-other    |  11.2 | 75.18 |
|      fruit       | 17.62 |  64.7 |
| furniture-other  |  5.65 |  9.23 |
|      grass       |  48.9 | 62.58 |
|      gravel      | 13.07 | 23.48 |
|   ground-other   |  2.67 | 33.95 |
|       hill       |  6.19 |  7.7  |
|      house       | 11.37 | 31.09 |
|      leaves      |  7.7  |  9.47 |
|      light       |  4.16 | 29.34 |
|       mat        |  0.67 |  3.65 |
|      metal       |  4.01 |  4.58 |
|   mirror-stuff   | 13.06 | 15.77 |
|       moss       |  0.0  |  0.0  |
