[2026-03-18 12:33:56 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 12:38:08 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 12:38:08 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.24 | 13.88 |
|     bicycle      | 52.69 |  83.8 |
|       car        | 43.41 | 75.08 |
|    motorcycle    | 66.26 | 88.67 |
|     airplane     | 41.55 | 89.81 |
|       bus        | 63.43 | 85.14 |
|      train       | 56.08 | 71.83 |
|      truck       | 38.88 | 48.54 |
|       boat       | 32.91 | 81.08 |
|  traffic light   | 20.77 | 68.59 |
|   fire hydrant   | 55.28 | 83.12 |
|    stop sign     | 60.07 |  91.0 |
|  parking meter   | 28.81 | 36.78 |
|      bench       | 36.03 | 45.89 |
|       bird       | 54.16 | 85.65 |
|       cat        | 69.72 | 88.33 |
|       dog        | 61.39 | 82.49 |
|      horse       | 61.17 |  87.2 |
|      sheep       | 73.69 | 89.81 |
|       cow        | 65.39 | 81.97 |
|     elephant     | 80.81 | 92.36 |
|       bear       | 79.24 | 90.09 |
|      zebra       | 78.37 | 93.05 |
|     giraffe      |  48.0 | 88.41 |
|     backpack     |  7.91 | 56.73 |
|     umbrella     | 32.85 | 70.15 |
|     handbag      |  8.63 | 11.51 |
|       tie        |  1.09 |  53.9 |
|     suitcase     | 46.22 | 53.41 |
|     frisbee      | 11.66 | 51.25 |
|       skis       |  7.57 | 52.17 |
|    snowboard     | 13.41 | 59.53 |
|   sports ball    |  2.52 | 58.12 |
|       kite       | 28.99 | 50.71 |
|   baseball bat   |  5.73 |  8.57 |
|  baseball glove  | 22.71 | 47.83 |
|    skateboard    | 17.62 | 54.27 |
|    surfboard     | 28.43 | 72.43 |
|  tennis racket   |  6.48 | 48.16 |
|      bottle      | 25.06 | 52.84 |
|    wine glass    | 30.58 | 70.65 |
|       cup        | 17.15 | 24.52 |
|       fork       | 13.84 | 15.24 |
|      knife       |  4.84 |  6.32 |
|      spoon       |  19.0 | 32.37 |
|       bowl       | 12.41 | 16.26 |
|      banana      | 36.41 | 45.77 |
|      apple       | 11.33 | 12.72 |
|     sandwich     | 13.59 | 14.66 |
|      orange      | 22.27 | 25.49 |
|     broccoli     | 11.74 | 12.53 |
|      carrot      | 26.79 | 27.63 |
|     hot dog      |  34.2 | 40.16 |
|      pizza       | 43.92 | 52.33 |
|      donut       | 50.18 | 54.59 |
|       cake       | 47.83 | 70.14 |
|      chair       | 14.67 |  15.9 |
|      couch       | 46.45 | 57.68 |
|   potted plant   |  8.77 | 11.57 |
|       bed        | 48.47 | 61.22 |
|   dining table   | 11.11 | 12.19 |
|      toilet      | 30.97 | 76.31 |
|        tv        | 28.75 | 36.59 |
|      laptop      | 43.69 | 65.49 |
|      mouse       | 20.79 | 43.98 |
|      remote      | 14.55 |  66.3 |
|     keyboard     | 39.43 |  58.6 |
|    cell phone    |  32.9 | 58.27 |
|    microwave     |  23.0 | 29.48 |
|       oven       | 24.16 | 70.14 |
|     toaster      |  20.3 | 51.91 |
|       sink       | 30.93 | 54.71 |
|   refrigerator   | 49.56 |  61.4 |
|       book       | 27.96 | 32.31 |
|      clock       | 42.76 | 82.82 |
|       vase       | 29.28 | 55.22 |
|     scissors     | 50.98 |  62.8 |
|    teddy bear    | 62.35 | 76.13 |
|    hair drier    |  2.0  | 15.79 |
|    toothbrush    | 24.99 | 55.53 |
|      banner      |  2.12 | 74.52 |
|     blanket      |  6.18 | 19.18 |
|      branch      |  6.3  | 41.62 |
|      bridge      | 23.77 | 38.47 |
|  building-other  | 30.57 | 56.42 |
|       bush       | 11.91 | 32.45 |
|     cabinet      | 24.96 | 35.43 |
|       cage       |  5.63 |  6.68 |
|    cardboard     | 22.15 | 26.12 |
|      carpet      | 39.11 | 51.69 |
|  ceiling-other   | 27.51 |  41.6 |
|   ceiling-tile   |  7.23 | 23.22 |
|      cloth       |  0.69 |  2.22 |
|     clothes      |  4.01 | 27.52 |
|      clouds      | 32.77 | 37.29 |
|     counter      | 10.18 | 33.29 |
|     cupboard     |  4.25 | 19.89 |
|     curtain      | 31.87 | 38.65 |
|    desk-stuff    | 22.38 | 37.47 |
|       dirt       | 12.78 | 14.55 |
|    door-stuff    | 13.99 | 19.29 |
|      fence       | 26.68 | 48.83 |
|   floor-marble   |  5.6  |  9.27 |
|   floor-other    |  9.03 |  38.7 |
|   floor-stone    |  1.59 |  2.77 |
|    floor-tile    | 35.04 | 40.65 |
|    floor-wood    |  23.8 | 28.77 |
|      flower      | 31.75 | 42.75 |
|       fog        | 13.29 | 17.68 |
|    food-other    | 11.23 | 75.11 |
|      fruit       | 17.62 | 64.18 |
| furniture-other  |  5.6  |  9.11 |
|      grass       | 48.97 | 62.28 |
|      gravel      | 12.78 |  23.0 |
|   ground-other   |  2.68 | 34.27 |
|       hill       |  6.18 |  7.67 |
|      house       | 11.26 | 31.11 |
|      leaves      |  7.62 |  9.36 |
|      light       |  4.22 | 29.68 |
|       mat        |  0.65 |  3.57 |
|      metal       |  4.04 |  4.62 |
|   mirror-stuff   | 12.77 | 15.36 |
|       moss       |  0.0  |  0.0  |
|     mountain     | 36.18 | 60.27 |
|       mud        |  0.09 |  0.27 |
|      napkin      |  9.55 | 38.14 |
|       net        | 10.48 | 27.08 |
|      paper       | 13.77 | 26.25 |
|     pavement     | 31.75 |  49.5 |
|      pillow      |  5.65 | 20.02 |
|   plant-other    |  5.27 |  7.63 |
|     plastic      |  3.6  |  3.8  |
|     platform     |  6.06 |  9.34 |
|   playingfield   |  0.19 |  0.19 |
|     railing      |  4.09 | 12.04 |
|     railroad     | 38.04 | 84.07 |
|      river       | 40.77 | 60.05 |
|       road       | 31.13 | 39.83 |
|       rock       | 30.68 | 43.43 |
|       roof       |  4.72 | 28.08 |
|       rug        |  20.1 |  25.7 |
|      salad       | 12.34 | 27.99 |
|       sand       | 41.45 | 51.41 |
|       sea        | 50.21 | 61.27 |
|      shelf       | 14.43 | 16.94 |
|    sky-other     | 47.23 | 56.49 |
|    skyscraper    | 22.39 | 39.49 |
|       snow       | 70.13 | 87.15 |
|   solid-other    |  0.1  |  0.49 |
|      stairs      |  9.86 | 15.92 |
|      stone       |  7.55 | 11.96 |
|      straw       | 16.07 | 20.43 |
| structural-other |  0.18 |  0.38 |
|      table       |  6.44 |  8.71 |
|       tent       |  6.09 | 12.63 |
|  textile-other   |  4.54 |  6.67 |
|      towel       |  9.81 | 42.56 |
|       tree       | 34.13 | 37.13 |
|    vegetable     | 15.05 | 45.06 |
|    wall-brick    | 28.88 | 39.84 |
|  wall-concrete   |  3.17 |  3.25 |
|    wall-other    |  6.24 | 11.62 |
|    wall-panel    |  1.95 |  2.55 |
|    wall-stone    | 24.37 |  35.3 |
|    wall-tile     |  39.3 | 59.62 |
|    wall-wood     | 11.92 |  12.9 |
|   water-other    | 16.09 | 53.18 |
|    waterdrops    |  0.06 |  0.75 |
|   window-blind   | 35.13 | 45.47 |
|   window-other   |  25.4 | 47.27 |
|       wood       |  7.64 |  23.9 |
+------------------+-------+-------+
[2026-03-18 12:38:08 CLIP_DINOiser_fast] (logging.py 102): INFO Summary:
[2026-03-18 12:38:08 CLIP_DINOiser_fast] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 38.69 | 24.36 | 41.33 |
+-------+-------+-------+
