[2026-03-29 20:22:44 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-29 20:24:18 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-29 20:24:18 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      |  16.3 | 17.39 |
|     bicycle      | 44.52 | 83.28 |
|       car        |  38.8 | 69.99 |
|    motorcycle    | 60.94 | 75.64 |
|     airplane     | 66.13 | 96.89 |
|       bus        | 66.07 | 84.83 |
|      train       | 37.85 | 48.42 |
|      truck       | 18.86 | 23.54 |
|       boat       | 52.16 |  80.2 |
|  traffic light   | 22.27 | 60.42 |
|   fire hydrant   |  45.6 |  63.7 |
|    stop sign     | 11.74 | 81.16 |
|  parking meter   |  5.01 |  6.36 |
|      bench       | 22.47 | 33.51 |
|       bird       |  47.0 | 79.18 |
|       cat        | 70.26 | 96.34 |
|       dog        | 68.56 | 93.34 |
|      horse       | 49.78 |  71.9 |
|      sheep       | 52.73 | 74.16 |
|       cow        |  63.8 | 90.15 |
|     elephant     | 86.21 | 96.54 |
|       bear       | 84.03 | 93.25 |
|      zebra       | 78.37 | 93.52 |
|     giraffe      | 45.49 | 80.66 |
|     backpack     |  1.57 | 10.75 |
|     umbrella     | 39.53 | 54.96 |
|     handbag      |  0.2  |  0.35 |
|       tie        |  1.38 | 45.52 |
|     suitcase     | 55.31 | 64.34 |
|     frisbee      |  5.36 |  62.4 |
|       skis       | 12.34 |  70.6 |
|    snowboard     |  0.01 |  0.37 |
|   sports ball    |  1.02 | 39.29 |
|       kite       | 36.41 | 59.29 |
|   baseball bat   |  0.0  |  0.0  |
|  baseball glove  |  0.0  |  0.0  |
|    skateboard    | 13.18 | 16.35 |
|    surfboard     | 29.29 | 89.01 |
|  tennis racket   |  4.28 | 20.21 |
|      bottle      | 36.54 | 52.31 |
|    wine glass    | 21.38 | 44.95 |
|       cup        |  1.62 |  2.59 |
|       fork       |  0.0  |  0.0  |
|      knife       |  0.0  |  0.0  |
|      spoon       | 60.65 | 89.92 |
|       bowl       |  7.83 |  14.5 |
|      banana      | 17.16 | 17.57 |
|      apple       |  0.0  |  0.0  |
|     sandwich     |  0.0  |  0.0  |
|      orange      |  0.0  |  0.0  |
