[2026-03-18 13:24:32 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 13:28:45 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 13:28:45 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.21 | 13.86 |
|     bicycle      | 52.77 | 83.48 |
|       car        | 43.34 | 75.57 |
|    motorcycle    |  66.0 | 88.76 |
|     airplane     | 41.44 | 89.68 |
|       bus        | 62.89 |  84.5 |
|      train       | 55.18 | 70.22 |
|      truck       | 38.33 | 47.84 |
|       boat       | 32.67 |  81.1 |
|  traffic light   | 21.08 | 68.94 |
|   fire hydrant   | 55.13 | 82.44 |
|    stop sign     | 59.83 | 91.12 |
|  parking meter   | 28.22 | 36.19 |
|      bench       | 36.08 | 45.99 |
|       bird       | 53.95 | 86.27 |
|       cat        |  69.6 | 88.33 |
|       dog        | 61.26 | 82.34 |
|      horse       | 61.52 | 86.84 |
|      sheep       | 73.66 | 89.82 |
|       cow        |  65.3 | 82.11 |
|     elephant     | 80.87 | 92.61 |
|       bear       | 79.22 | 90.12 |
|      zebra       | 78.27 |  93.3 |
|     giraffe      | 48.07 | 88.98 |
|     backpack     |  7.9  | 56.14 |
|     umbrella     | 33.12 | 70.21 |
|     handbag      |  8.61 | 11.45 |
|       tie        |  1.09 | 53.09 |
|     suitcase     | 46.19 | 53.31 |
|     frisbee      | 12.01 | 52.11 |
|       skis       |  7.8  | 56.06 |
|    snowboard     | 13.92 | 62.78 |
|   sports ball    |  2.54 | 57.34 |
|       kite       | 29.28 | 51.07 |
|   baseball bat   |  5.5  |  8.1  |
|  baseball glove  | 22.76 | 47.64 |
|    skateboard    | 17.71 | 54.36 |
|    surfboard     |  28.6 | 71.64 |
|  tennis racket   |  6.54 | 48.27 |
|      bottle      | 25.15 | 52.95 |
|    wine glass    | 30.95 | 70.74 |
|       cup        | 17.32 | 24.65 |
|       fork       | 13.92 | 15.33 |
|      knife       |  4.59 |  5.99 |
|      spoon       |  18.7 | 32.22 |
|       bowl       | 12.29 | 16.03 |
|      banana      | 36.02 | 45.34 |
|      apple       | 11.18 | 12.57 |
|     sandwich     | 13.35 | 14.43 |
|      orange      | 22.29 | 25.58 |
|     broccoli     | 12.33 | 13.17 |
|      carrot      | 25.85 | 26.64 |
|     hot dog      | 34.52 | 40.47 |
|      pizza       | 44.38 | 53.12 |
|      donut       |  50.1 | 54.54 |
|       cake       | 48.03 | 70.33 |
|      chair       | 14.58 |  15.8 |
|      couch       | 46.42 |  57.5 |
|   potted plant   |  9.08 |  12.0 |
|       bed        |  48.4 | 61.24 |
|   dining table   | 11.38 | 12.51 |
|      toilet      | 30.84 | 76.13 |
|        tv        | 28.75 | 36.48 |
|      laptop      | 43.54 | 64.14 |
|      mouse       | 21.88 | 45.71 |
|      remote      | 14.64 | 65.54 |
|     keyboard     |  40.0 |  58.9 |
|    cell phone    | 32.68 | 57.67 |
|    microwave     | 24.07 | 30.83 |
|       oven       | 24.11 | 69.86 |
|     toaster      | 19.98 | 51.98 |
|       sink       | 31.17 | 54.98 |
|   refrigerator   | 49.37 | 61.63 |
|       book       | 27.84 | 32.23 |
|      clock       | 42.99 | 83.02 |
|       vase       |  29.4 |  55.3 |
|     scissors     | 51.19 | 62.37 |
|    teddy bear    | 62.28 |  75.8 |
|    hair drier    |  1.9  | 14.87 |
|    toothbrush    | 25.75 | 55.41 |
|      banner      |  2.1  | 74.63 |
|     blanket      |  6.18 |  19.2 |
|      branch      |  6.38 | 41.88 |
|      bridge      | 24.21 | 39.06 |
|  building-other  | 30.46 | 55.84 |
|       bush       | 11.86 |  32.2 |
|     cabinet      | 24.86 | 35.43 |
|       cage       |  5.62 |  6.68 |
|    cardboard     | 22.13 | 26.01 |
|      carpet      | 39.02 | 51.43 |
|  ceiling-other   | 27.32 | 41.17 |
|   ceiling-tile   |  7.22 | 23.32 |
|      cloth       |  0.69 |  2.23 |
|     clothes      |  4.0  | 27.33 |
|      clouds      | 32.49 |  36.9 |
|     counter      | 10.09 |  33.1 |
|     cupboard     |  4.29 | 20.19 |
|     curtain      | 32.27 | 39.03 |
|    desk-stuff    | 22.87 | 38.79 |
