[2026-03-18 12:38:43 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 12:43:37 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 12:43:37 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.09 | 13.71 |
|     bicycle      | 52.75 | 83.54 |
|       car        | 43.17 | 75.28 |
|    motorcycle    | 66.37 | 88.21 |
|     airplane     | 40.74 | 90.34 |
|       bus        | 63.23 | 85.21 |
|      train       | 55.93 | 71.66 |
|      truck       | 38.83 | 48.51 |
|       boat       | 32.85 | 80.78 |
|  traffic light   |  20.2 | 69.92 |
|   fire hydrant   | 54.77 | 83.19 |
|    stop sign     | 59.39 | 91.16 |
|  parking meter   | 28.16 | 36.39 |
|      bench       |  36.2 | 46.32 |
|       bird       |  53.1 | 86.81 |
|       cat        |  69.4 |  88.6 |
|       dog        | 61.05 | 82.75 |
|      horse       | 61.05 | 87.69 |
|      sheep       | 73.24 | 90.62 |
|       cow        | 65.19 | 82.78 |
|     elephant     | 80.47 | 92.98 |
|       bear       | 79.04 | 90.73 |
|      zebra       | 77.45 | 94.06 |
|     giraffe      | 47.28 | 90.08 |
|     backpack     |  7.86 | 56.21 |
|     umbrella     | 32.82 | 70.26 |
|     handbag      |  8.91 |  11.9 |
|       tie        |  1.11 | 54.03 |
|     suitcase     | 46.47 | 54.08 |
|     frisbee      |  11.5 | 52.67 |
|       skis       |  7.52 | 55.14 |
|    snowboard     | 13.32 | 62.47 |
|   sports ball    |  2.53 |  59.0 |
|       kite       | 27.67 |  51.3 |
|   baseball bat   |  5.96 |  8.68 |
|  baseball glove  | 22.52 | 47.33 |
|    skateboard    | 17.16 | 54.51 |
|    surfboard     | 29.07 | 72.23 |
|  tennis racket   |  6.56 | 48.71 |
|      bottle      |  24.9 | 52.79 |
|    wine glass    | 30.62 | 71.37 |
|       cup        | 17.37 | 24.82 |
|       fork       | 13.94 | 15.43 |
|      knife       |  4.75 |  6.26 |
|      spoon       | 18.75 | 33.12 |
|       bowl       | 12.21 | 15.95 |
|      banana      | 35.87 |  45.2 |
|      apple       | 11.21 | 12.63 |
|     sandwich     | 13.55 | 14.63 |
|      orange      |  22.3 | 25.49 |
|     broccoli     | 10.02 |  10.7 |
|      carrot      | 26.14 | 26.94 |
|     hot dog      | 34.41 | 40.35 |
|      pizza       | 43.96 | 52.72 |
|      donut       |  49.9 | 54.29 |
|       cake       |  47.8 | 69.97 |
|      chair       | 14.83 | 16.07 |
|      couch       | 46.54 | 57.78 |
|   potted plant   |  8.77 | 11.56 |
|       bed        |  48.1 | 60.73 |
|   dining table   | 10.95 | 12.01 |
|      toilet      | 30.73 | 76.24 |
|        tv        | 28.66 | 36.49 |
|      laptop      | 43.55 | 65.13 |
|      mouse       | 20.31 | 42.45 |
|      remote      | 14.61 | 66.41 |
|     keyboard     | 38.05 | 57.42 |
|    cell phone    | 32.53 | 57.79 |
|    microwave     | 22.98 | 29.57 |
|       oven       | 24.17 |  70.2 |
|     toaster      | 20.18 | 52.03 |
|       sink       | 30.89 | 54.53 |
|   refrigerator   | 49.39 | 61.99 |
|       book       | 27.57 | 31.99 |
|      clock       | 42.53 | 83.01 |
|       vase       | 29.22 | 55.29 |
|     scissors     | 51.48 | 63.18 |
|    teddy bear    | 62.28 |  75.9 |
|    hair drier    |  1.94 | 15.73 |
|    toothbrush    | 25.44 | 55.86 |
|      banner      |  2.11 | 74.96 |
|     blanket      |  6.19 |  19.2 |
|      branch      |  6.27 | 41.24 |
|      bridge      | 23.83 |  38.8 |
|  building-other  | 30.35 | 55.68 |
|       bush       | 11.89 | 32.47 |
|     cabinet      | 24.91 | 35.44 |
|       cage       |  5.57 |  6.64 |
|    cardboard     | 22.18 | 26.27 |
|      carpet      | 38.98 | 51.64 |
|  ceiling-other   | 27.35 | 41.14 |
|   ceiling-tile   |  7.29 | 23.61 |
|      cloth       |  0.71 |  2.26 |
|     clothes      |  4.01 |  27.4 |
|      clouds      | 32.79 | 37.25 |
|     counter      | 10.19 | 33.45 |
|     cupboard     |  4.15 | 19.38 |
|     curtain      | 31.71 |  38.5 |
|    desk-stuff    | 22.55 | 38.51 |
|       dirt       | 13.43 | 15.32 |
|    door-stuff    | 13.88 | 19.18 |
|      fence       |  26.6 | 49.02 |
|   floor-marble   |  5.7  |  9.55 |
|   floor-other    |  9.09 | 38.56 |
|   floor-stone    |  1.75 |  3.08 |
|    floor-tile    | 35.07 | 40.72 |
|    floor-wood    | 24.15 | 29.31 |
|      flower      | 31.59 |  42.6 |
|       fog        | 13.25 | 17.65 |
|    food-other    | 11.29 | 75.12 |
|      fruit       | 17.64 |  65.0 |
| furniture-other  |  5.6  |  9.09 |
|      grass       | 48.86 | 61.85 |
|      gravel      | 13.51 | 24.45 |
|   ground-other   |  2.68 |  33.6 |
|       hill       |  6.39 |  7.96 |
|      house       | 11.22 |  31.2 |
|      leaves      |  7.85 |  9.63 |
|      light       |  4.22 | 29.55 |
|       mat        |  0.63 |  3.44 |
|      metal       |  4.02 |  4.59 |
|   mirror-stuff   |  12.7 | 15.29 |
|       moss       |  0.0  |  0.0  |
|     mountain     | 36.05 | 60.91 |
|       mud        |  0.11 |  0.32 |
|      napkin      |  9.62 | 38.14 |
|       net        | 10.26 | 26.61 |
|      paper       | 13.66 | 26.09 |
|     pavement     | 31.82 |  49.8 |
|      pillow      |  5.79 | 21.05 |
|   plant-other    |  5.14 |  7.42 |
|     plastic      |  3.46 |  3.65 |
|     platform     |  6.02 |  9.24 |
|   playingfield   |  0.2  |  0.2  |
|     railing      |  3.78 | 11.08 |
|     railroad     | 38.21 | 84.19 |
|      river       | 41.04 | 60.34 |
|       road       | 31.05 |  39.8 |
|       rock       | 31.11 | 44.13 |
|       roof       |  4.77 | 28.24 |
|       rug        | 20.34 | 26.04 |
|      salad       | 12.33 | 27.74 |
|       sand       | 41.77 | 51.76 |
|       sea        | 50.74 | 61.88 |
|      shelf       | 14.34 | 16.83 |
|    sky-other     | 46.83 | 55.93 |
|    skyscraper    | 22.48 | 39.64 |
|       snow       | 70.22 | 86.21 |
|   solid-other    |  0.12 |  0.63 |
|      stairs      | 10.56 |  17.3 |
|      stone       |  7.41 | 11.77 |
|      straw       | 16.01 | 20.13 |
| structural-other |  0.19 |  0.4  |
|      table       |  6.49 |  8.84 |
|       tent       |  6.03 | 12.52 |
|  textile-other   |  4.46 |  6.54 |
|      towel       |  9.8  | 42.23 |
|       tree       | 33.96 | 36.98 |
|    vegetable     | 15.12 | 45.34 |
|    wall-brick    | 29.05 | 40.13 |
|  wall-concrete   |  3.22 |  3.3  |
|    wall-other    |  6.27 | 11.64 |
|    wall-panel    |  1.97 |  2.58 |
|    wall-stone    | 24.38 | 35.47 |
|    wall-tile     | 39.31 | 59.94 |
|    wall-wood     | 11.84 | 12.82 |
|   water-other    |  16.1 | 53.16 |
|    waterdrops    |  0.06 |  0.73 |
|   window-blind   | 34.36 | 44.68 |
|   window-other   | 25.38 | 47.18 |
|       wood       |  7.63 | 24.16 |
+------------------+-------+-------+
[2026-03-18 12:43:37 CLIP_DINOiser_fast] (logging.py 102): INFO Summary:
[2026-03-18 12:43:37 CLIP_DINOiser_fast] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 38.65 | 24.28 | 41.45 |
+-------+-------+-------+
