[2026-03-18 12:59:27 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 13:04:14 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 13:04:14 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.25 | 13.88 |
|     bicycle      | 52.81 | 83.53 |
|       car        | 43.14 | 75.17 |
|    motorcycle    | 66.31 | 88.54 |
|     airplane     | 40.92 | 90.81 |
|       bus        | 63.06 | 84.79 |
|      train       | 55.69 | 71.53 |
|      truck       | 38.41 | 47.99 |
|       boat       |  32.6 | 80.94 |
|  traffic light   | 20.57 | 69.34 |
|   fire hydrant   |  55.2 | 82.87 |
|    stop sign     | 59.76 | 91.01 |
|  parking meter   | 28.24 | 36.11 |
|      bench       | 36.17 | 46.12 |
|       bird       | 53.57 | 86.37 |
|       cat        | 69.73 | 88.29 |
|       dog        | 61.24 | 82.33 |
|      horse       | 61.51 | 86.81 |
|      sheep       | 73.46 | 90.27 |
|       cow        | 65.16 | 82.45 |
|     elephant     | 80.61 | 92.76 |
|       bear       | 79.15 | 90.42 |
|      zebra       |  77.8 | 93.77 |
|     giraffe      | 47.68 | 89.62 |
|     backpack     |  7.93 | 56.25 |
|     umbrella     | 32.64 |  70.3 |
|     handbag      |  8.61 | 11.39 |
|       tie        |  1.11 | 54.19 |
|     suitcase     | 46.23 | 53.67 |
|     frisbee      | 11.67 |  51.9 |
|       skis       |  7.65 | 55.75 |
|    snowboard     | 13.68 | 62.81 |
|   sports ball    |  2.51 | 58.26 |
|       kite       | 28.27 | 51.47 |
|   baseball bat   |  5.83 |  8.64 |
|  baseball glove  | 22.63 |  47.2 |
|    skateboard    | 17.42 | 54.02 |
|    surfboard     | 28.93 | 71.51 |
|  tennis racket   |  6.48 | 48.12 |
|      bottle      | 25.11 | 53.55 |
|    wine glass    | 30.74 | 71.61 |
|       cup        | 17.16 | 24.54 |
|       fork       |  13.7 | 15.09 |
|      knife       |  4.77 |  6.26 |
|      spoon       | 18.59 | 31.95 |
|       bowl       | 12.46 | 16.31 |
|      banana      | 36.62 |  46.0 |
|      apple       | 11.35 |  12.7 |
|     sandwich     | 13.38 | 14.45 |
|      orange      | 22.55 | 25.84 |
|     broccoli     |  7.93 |  8.46 |
|      carrot      | 26.55 | 27.35 |
|     hot dog      | 34.25 |  40.1 |
|      pizza       | 43.88 | 52.38 |
|      donut       | 50.23 | 54.56 |
|       cake       | 47.84 | 69.85 |
|      chair       |  14.7 | 15.92 |
|      couch       | 46.45 | 57.42 |
|   potted plant   |  8.91 | 11.74 |
|       bed        | 48.21 | 61.07 |
|   dining table   | 10.86 | 11.89 |
|      toilet      | 30.71 | 76.38 |
|        tv        | 28.58 |  36.3 |
|      laptop      | 43.67 | 64.85 |
|      mouse       | 20.46 | 42.17 |
|      remote      |  14.7 | 66.59 |
|     keyboard     | 38.76 | 58.21 |
|    cell phone    | 32.82 | 58.06 |
|    microwave     | 23.23 | 29.73 |
|       oven       | 24.23 | 70.43 |
|     toaster      | 20.31 | 52.03 |
|       sink       | 30.87 | 54.36 |
|   refrigerator   | 49.39 | 61.58 |
|       book       | 27.85 | 32.21 |
|      clock       | 43.19 |  82.7 |
|       vase       |  29.7 | 54.97 |
|     scissors     | 51.34 | 62.86 |
|    teddy bear    |  62.3 | 75.97 |
|    hair drier    |  1.84 | 14.92 |
|    toothbrush    | 25.27 | 55.52 |
|      banner      |  2.08 | 74.44 |
|     blanket      |  6.13 | 19.11 |
|      branch      |  6.3  | 41.29 |
|      bridge      |  23.7 | 38.47 |
|  building-other  | 30.59 | 56.21 |
|       bush       | 11.88 | 32.46 |
|     cabinet      | 24.76 | 35.26 |
|       cage       |  5.73 |  6.81 |
|    cardboard     | 22.32 |  26.2 |
|      carpet      | 39.02 | 51.44 |
|  ceiling-other   |  28.0 | 42.06 |
|   ceiling-tile   |  7.25 |  23.7 |
|      cloth       |  0.69 |  2.21 |
|     clothes      |  4.01 | 27.18 |
|      clouds      | 32.92 | 37.52 |
|     counter      | 10.07 |  33.4 |
|     cupboard     |  4.1  | 19.23 |
|     curtain      | 31.98 | 38.83 |
|    desk-stuff    | 22.64 | 37.83 |
|       dirt       | 13.17 | 15.02 |
|    door-stuff    |  14.1 | 19.48 |
|      fence       | 26.76 | 49.61 |
|   floor-marble   |  5.19 |  8.65 |
|   floor-other    |  9.02 | 38.78 |
|   floor-stone    |  1.58 |  2.77 |
|    floor-tile    | 35.01 | 40.69 |
|    floor-wood    | 23.65 | 28.51 |
|      flower      | 31.51 | 42.59 |
|       fog        | 13.35 | 17.78 |
|    food-other    | 11.23 | 75.18 |
|      fruit       | 17.71 | 64.24 |
| furniture-other  |  5.66 |  9.3  |
|      grass       | 49.13 | 62.17 |
|      gravel      | 13.49 | 24.19 |
|   ground-other   |  2.68 | 33.93 |
|       hill       |  6.44 |  8.04 |
|      house       | 11.35 |  31.1 |
|      leaves      |  7.81 |  9.59 |
|      light       |  4.19 |  29.1 |
|       mat        |  0.64 |  3.49 |
|      metal       |  3.99 |  4.55 |
|   mirror-stuff   | 13.06 | 15.76 |
|       moss       |  0.0  |  0.0  |
|     mountain     | 36.32 | 61.63 |
|       mud        |  0.1  |  0.3  |
|      napkin      |  9.5  |  37.9 |
|       net        | 10.46 | 27.08 |
|      paper       | 13.82 | 26.43 |
|     pavement     | 31.75 | 49.71 |
|      pillow      |  5.64 | 20.38 |
|   plant-other    |  5.03 |  7.23 |
|     plastic      |  3.51 |  3.7  |
|     platform     |  5.74 |  8.86 |
|   playingfield   |  0.2  |  0.2  |
|     railing      |  3.68 | 10.92 |
|     railroad     | 37.94 | 84.11 |
|      river       |  41.1 | 59.79 |
|       road       | 31.12 | 39.83 |
|       rock       | 31.41 | 44.38 |
|       roof       |  4.82 | 28.15 |
|       rug        | 19.93 |  25.5 |
|      salad       | 12.73 | 28.14 |
|       sand       | 41.87 | 51.96 |
|       sea        | 50.11 | 61.25 |
|      shelf       | 14.21 | 16.69 |
|    sky-other     | 47.09 | 56.05 |
|    skyscraper    | 22.48 | 39.73 |
|       snow       | 70.53 | 85.92 |
|   solid-other    |  0.12 |  0.63 |
|      stairs      |  9.36 | 15.48 |
|      stone       |  7.44 | 11.79 |
|      straw       | 16.14 | 20.38 |
| structural-other |  0.18 |  0.38 |
|      table       |  6.45 |  8.79 |
|       tent       |  6.06 | 12.55 |
|  textile-other   |  4.52 |  6.62 |
|      towel       |  9.83 | 42.17 |
|       tree       | 34.65 | 37.75 |
|    vegetable     | 15.04 | 44.89 |
|    wall-brick    | 29.36 | 40.38 |
|  wall-concrete   |  3.23 |  3.31 |
|    wall-other    |  6.24 | 11.59 |
|    wall-panel    |  2.03 |  2.66 |
|    wall-stone    | 24.32 | 35.18 |
|    wall-tile     | 39.32 | 59.54 |
|    wall-wood     |  11.8 | 12.78 |
|   water-other    | 16.05 | 53.72 |
|    waterdrops    |  0.07 |  0.78 |
|   window-blind   | 34.41 | 44.49 |
|   window-other   | 25.45 |  47.4 |
|       wood       |  7.74 | 24.19 |
+------------------+-------+-------+
[2026-03-18 13:04:14 CLIP_DINOiser_fast] (logging.py 102): INFO Summary:
[2026-03-18 13:04:14 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------+-------+-------+
| aAcc |  mIoU |  mAcc |
+------+-------+-------+
| 38.7 | 24.32 | 41.35 |
+------+-------+-------+
