[2026-03-18 12:18:04 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 12:23:09 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 12:23:09 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|      river       | 41.08 | 59.79 |
|       road       | 31.32 | 40.13 |
|       rock       | 31.29 | 44.27 |
|       roof       |  4.81 | 28.25 |
|       rug        | 19.81 | 25.25 |
|      salad       | 12.46 | 28.05 |
|       sand       | 41.81 | 51.94 |
|       sea        | 49.12 | 60.11 |
|      shelf       | 14.43 | 16.93 |
|    sky-other     | 46.57 | 55.77 |
|    skyscraper    | 22.38 | 39.62 |
|       snow       | 70.45 | 86.29 |
|   solid-other    |  0.12 |  0.63 |
|      stairs      | 10.44 | 17.14 |
|      stone       |  7.48 | 11.89 |
|      straw       | 16.06 | 20.39 |
| structural-other |  0.18 |  0.38 |
|      table       |  6.44 |  8.73 |
|       tent       |  6.05 | 12.44 |
|  textile-other   |  4.52 |  6.63 |
|      towel       |  9.93 | 42.39 |
|       tree       | 33.85 | 36.87 |
|    vegetable     | 14.93 | 44.85 |
|    wall-brick    | 29.26 | 40.31 |
|  wall-concrete   |  3.25 |  3.32 |
|    wall-other    |  6.27 | 11.64 |
|    wall-panel    |  2.0  |  2.62 |
|    wall-stone    | 24.35 | 35.35 |
|    wall-tile     | 39.34 |  60.5 |
|    wall-wood     | 11.88 | 12.86 |
|   water-other    | 15.98 | 53.13 |
|    waterdrops    |  0.07 |  0.8  |
|   window-blind   |  34.8 | 45.23 |
|   window-other   |  25.5 | 47.13 |
|       wood       |  7.58 | 23.76 |
+------------------+-------+-------+
[2026-03-18 12:23:09 CLIP_DINOiser_fast] (logging.py 102): INFO Summary:
[2026-03-18 12:23:09 CLIP_DINOiser_fast] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 38.58 | 24.25 | 41.34 |
+-------+-------+-------+
