[2026-03-18 12:18:04 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 12:23:09 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 12:23:09 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.17 | 13.81 |
|     bicycle      | 52.72 | 83.42 |
|       car        | 43.05 | 75.12 |
|    motorcycle    | 65.85 | 88.63 |
|     airplane     | 40.63 | 90.47 |
|       bus        | 62.78 |  84.0 |
|      train       | 54.83 | 70.02 |
|      truck       | 38.11 |  47.6 |
|       boat       | 32.63 | 81.31 |
|  traffic light   | 20.38 | 69.92 |
|   fire hydrant   | 54.96 | 82.97 |
|    stop sign     | 59.37 | 91.06 |
|  parking meter   | 28.39 | 36.58 |
|      bench       | 36.03 | 45.78 |
|       bird       | 52.77 | 86.69 |
|       cat        | 69.47 | 88.51 |
|       dog        | 61.38 | 82.82 |
|      horse       |  61.0 | 87.44 |
|      sheep       | 73.26 | 90.38 |
|       cow        | 65.14 | 82.82 |
|     elephant     | 80.42 |  92.9 |
|       bear       | 79.04 | 90.58 |
|      zebra       | 77.55 |  93.8 |
|     giraffe      | 47.41 | 89.85 |
|     backpack     |  7.84 | 55.94 |
|     umbrella     | 32.93 | 70.44 |
|     handbag      |  8.35 | 11.04 |
|       tie        |  1.14 | 55.76 |
|     suitcase     |  46.2 | 53.84 |
|     frisbee      | 11.25 | 51.23 |
|       skis       |  7.57 | 55.15 |
|    snowboard     | 13.31 | 62.98 |
|   sports ball    |  2.5  | 58.06 |
|       kite       | 27.59 | 51.74 |
|   baseball bat   |  5.47 |  8.36 |
|  baseball glove  | 22.32 | 46.84 |
|    skateboard    | 17.39 | 54.31 |
|    surfboard     | 26.61 | 72.35 |
|  tennis racket   |  6.48 | 47.95 |
|      bottle      | 25.13 | 53.06 |
|    wine glass    |  30.8 | 70.97 |
|       cup        | 17.21 | 24.36 |
|       fork       |  13.3 | 14.59 |
|      knife       |  4.71 |  6.14 |
|      spoon       | 18.96 | 31.99 |
|       bowl       | 12.28 | 16.05 |
|      banana      | 36.86 | 46.35 |
|      apple       | 11.41 | 12.79 |
|     sandwich     |  13.4 | 14.49 |
|      orange      | 22.93 | 26.18 |
|     broccoli     |  9.23 |  9.84 |
|      carrot      |  25.6 | 26.35 |
|     hot dog      | 34.18 | 39.92 |
|      pizza       | 43.92 | 52.42 |
|      donut       | 50.09 | 54.49 |
|       cake       | 47.76 | 69.88 |
|      chair       | 14.61 | 15.84 |
|      couch       | 46.46 | 57.59 |
|   potted plant   |  9.24 | 12.21 |
|       bed        | 48.43 | 61.33 |
|   dining table   | 11.18 | 12.27 |
|      toilet      | 30.94 | 75.71 |
|        tv        | 28.59 | 36.34 |
|      laptop      | 43.28 | 64.11 |
|      mouse       | 20.72 |  42.9 |
|      remote      |  14.5 | 65.95 |
|     keyboard     | 38.72 | 57.91 |
|    cell phone    | 32.81 | 58.14 |
|    microwave     | 22.99 | 29.24 |
|       oven       |  24.1 | 70.36 |
|     toaster      | 20.17 | 52.01 |
|       sink       | 31.28 | 55.12 |
|   refrigerator   | 49.25 | 61.69 |
|       book       | 28.14 | 32.59 |
|      clock       | 42.67 | 82.74 |
|       vase       | 29.48 | 54.53 |
|     scissors     | 51.48 |  63.1 |
|    teddy bear    |  62.4 | 75.86 |
|    hair drier    |  1.9  | 15.14 |
|    toothbrush    | 25.37 | 55.52 |
|      banner      |  2.11 | 74.96 |
|     blanket      |  6.21 | 19.14 |
|      branch      |  6.45 | 41.58 |
|      bridge      | 24.39 | 39.63 |
|  building-other  | 30.45 | 55.93 |
|       bush       | 11.79 | 31.93 |
|     cabinet      | 24.88 | 35.35 |
|       cage       |  5.64 |  6.68 |
|    cardboard     | 22.09 | 25.94 |
|      carpet      | 38.77 | 51.14 |
|  ceiling-other   |  27.5 | 41.54 |
|   ceiling-tile   |  7.11 | 22.91 |
|      cloth       |  0.69 |  2.21 |
|     clothes      |  3.99 | 27.48 |
|      clouds      | 32.71 | 37.15 |
|     counter      |  10.1 | 33.08 |
|     cupboard     |  4.1  | 18.94 |
|     curtain      | 32.21 | 39.01 |
|    desk-stuff    |  22.7 | 38.43 |
|       dirt       | 13.35 | 15.22 |
|    door-stuff    | 13.87 | 19.21 |
|      fence       |  26.6 | 48.75 |
|   floor-marble   |  5.55 |  9.16 |
|   floor-other    |  9.02 |  38.8 |
|   floor-stone    |  1.6  |  2.8  |
|    floor-tile    |  35.0 | 40.63 |
|    floor-wood    | 23.46 | 28.29 |
|      flower      | 31.76 | 43.34 |
|       fog        | 13.04 |  17.4 |
|    food-other    | 11.16 | 74.92 |
|      fruit       | 17.67 | 63.98 |
| furniture-other  |  5.63 |  9.15 |
|      grass       | 48.89 |  62.1 |
|      gravel      | 13.67 |  24.6 |
|   ground-other   |  2.67 | 33.77 |
|       hill       |  6.42 |  8.04 |
|      house       | 11.28 | 31.21 |
|      leaves      |  7.88 |  9.67 |
|      light       |  4.23 | 29.48 |
|       mat        |  0.61 |  3.34 |
|      metal       |  3.97 |  4.54 |
|   mirror-stuff   | 12.56 | 15.11 |
|       moss       |  0.0  |  0.0  |
|     mountain     | 36.08 | 61.31 |
|       mud        |  0.11 |  0.32 |
|      napkin      |  9.45 | 37.65 |
|       net        | 10.24 | 26.51 |
|      paper       | 13.77 | 26.25 |
|     pavement     | 31.82 | 49.82 |
|      pillow      |  5.46 | 19.17 |
|   plant-other    |  4.98 |  7.12 |
|     plastic      |  3.41 |  3.59 |
|     platform     |  6.03 |  9.29 |
|   playingfield   |  0.2  |  0.2  |
|     railing      |  3.63 | 10.66 |
|     railroad     | 37.68 | 84.62 |
