[2026-03-18 14:00:54 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 14:05:16 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 14:05:16 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 13.29 | 13.94 |
|     bicycle      | 52.89 | 83.52 |
|       car        | 43.34 | 75.75 |
|    motorcycle    | 65.86 |  88.8 |
|     airplane     | 41.65 | 89.19 |
|       bus        | 63.24 |  85.4 |
|      train       | 55.96 | 71.46 |
|      truck       | 38.96 | 48.56 |
|       boat       | 32.51 | 81.39 |
|  traffic light   | 20.41 | 69.22 |
|   fire hydrant   | 54.85 | 83.28 |
|    stop sign     | 59.73 | 91.11 |
|  parking meter   | 28.51 | 36.49 |
|      bench       | 36.22 | 46.27 |
|       bird       | 53.82 |  86.4 |
|       cat        | 69.58 | 88.39 |
|       dog        | 61.17 | 82.45 |
|      horse       | 61.57 | 86.96 |
|      sheep       | 73.53 | 90.37 |
|       cow        | 65.33 | 82.65 |
|     elephant     |  80.5 | 92.79 |
|       bear       | 79.13 | 90.45 |
|      zebra       | 77.81 | 93.81 |
|     giraffe      | 48.06 | 89.62 |
|     backpack     |  7.82 | 56.11 |
|     umbrella     | 33.13 | 70.36 |
|     handbag      |  8.6  |  11.4 |
|       tie        |  1.11 | 54.59 |
|     suitcase     | 46.07 | 53.55 |
|     frisbee      | 11.83 | 51.82 |
|       skis       |  7.89 | 54.75 |
|    snowboard     | 13.86 | 61.46 |
|   sports ball    |  2.47 | 56.93 |
|       kite       | 28.96 | 50.84 |
|   baseball bat   |  5.41 |  8.16 |
|  baseball glove  | 22.59 | 47.25 |
|    skateboard    | 17.55 | 54.22 |
|    surfboard     | 27.72 | 72.42 |
|  tennis racket   |  6.47 | 48.16 |
|      bottle      | 25.18 | 53.15 |
|    wine glass    | 30.78 | 70.97 |
|       cup        | 17.38 | 24.69 |
|       fork       |  13.5 | 14.87 |
|      knife       |  4.62 |  6.01 |
|      spoon       | 19.06 | 31.83 |
|       bowl       | 12.39 | 16.23 |
|      banana      | 35.11 | 44.13 |
|      apple       | 11.22 | 12.57 |
|     sandwich     | 12.98 | 14.01 |
|      orange      | 21.94 | 25.11 |
|     broccoli     |  8.18 |  8.69 |
|      carrot      | 24.54 | 25.24 |
|     hot dog      | 34.33 | 40.15 |
|      pizza       | 43.63 | 51.96 |
|      donut       | 50.04 | 54.39 |
|       cake       | 47.89 | 69.94 |
|      chair       |  14.8 | 16.06 |
|      couch       | 46.42 | 57.59 |
|   potted plant   |  9.16 | 12.04 |
|       bed        | 48.57 | 61.45 |
|   dining table   | 11.48 | 12.61 |
|      toilet      | 30.84 | 76.17 |
|        tv        | 28.79 | 36.55 |
|      laptop      | 43.39 | 64.22 |
|      mouse       | 20.75 | 43.15 |
|      remote      | 14.49 | 65.76 |
|     keyboard     | 39.01 | 58.78 |
|    cell phone    | 32.79 | 58.14 |
|    microwave     | 23.16 | 29.64 |
|       oven       | 24.09 | 70.28 |
|     toaster      | 20.35 | 52.06 |
|       sink       | 30.97 | 54.97 |
|   refrigerator   | 49.42 |  61.6 |
|       book       | 28.01 | 32.49 |
|      clock       | 42.77 | 83.05 |
|       vase       | 29.18 | 55.18 |
|     scissors     | 51.57 | 63.05 |
