[2026-03-18 12:23:44 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-18 12:27:48 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-18 12:27:48 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|      stone       |  7.45 | 11.85 |
|      straw       | 16.05 | 20.31 |
| structural-other |  0.19 |  0.4  |
|      table       |  6.43 |  8.72 |
|       tent       |  5.97 | 12.42 |
|  textile-other   |  4.51 |  6.61 |
|      towel       |  9.89 | 42.41 |
|       tree       | 33.74 | 36.71 |
|    vegetable     | 14.95 | 44.63 |
|    wall-brick    | 29.01 | 40.36 |
|  wall-concrete   |  3.23 |  3.3  |
|    wall-other    |  6.31 | 11.75 |
|    wall-panel    |  1.98 |  2.6  |
|    wall-stone    |  24.3 | 35.17 |
|    wall-tile     | 39.28 |  60.0 |
|    wall-wood     |  12.0 | 12.99 |
|   water-other    | 16.23 |  53.5 |
|    waterdrops    |  0.05 |  0.59 |
|   window-blind   | 34.72 | 45.46 |
|   window-other   | 25.53 | 47.29 |
|       wood       |  7.53 | 23.69 |
+------------------+-------+-------+
[2026-03-18 12:27:48 CLIP_DINOiser_fast] (logging.py 102): INFO Summary:
[2026-03-18 12:27:48 CLIP_DINOiser_fast] (logging.py 102): INFO 
+-------+------+-------+
|  aAcc | mIoU |  mAcc |
+-------+------+-------+
| 38.63 | 24.3 | 41.42 |
+-------+------+-------+
